#: table_doi: 10.17182/hepdata.83419.v1/t14
#: name: Observed upper limit 3
#: description: Observed exclusion limits at 95% CL on the masses of C1/N2 and N1 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the statistical combination of the $2\ell$ and 3$\ell$ search channels, assuming 100% branching ratio of the sparticles to decay to SM $W/Z$ bosons and LSP.
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword cmenergies: 13000.0
'M(NLSP) [GeV]','M(LSP) [GeV]'
576.672,255.0
576.315,245.0
581.278,235.0
586.062,225.0
587.5,222.462
591.762,215.0
593.718,205.0
599.641,195.0
602.5,192.667
607.553,185.0
613.612,175.0
617.5,168.819
619.902,165.0
626.192,155.0
627.292,145.0
623.201,135.0
619.302,125.0
617.5,120.476
615.48,115.0
612.746,105.0
611.855,95.0
613.335,85.0
616.257,75.0
617.5,71.493
619.801,65.0
623.346,55.0
622.648,45.0
617.709,35.0
617.5,34.576
612.77,25.0
608.341,15.0
603.196,5.0
216.712,5.0
216.704,15.0
216.8,25.0
217.42,35.0
219.276,45.0
220.436,55.0
220.476,65.0
222.132,75.0
227.5,79.421
242.5,79.326
257.5,84.074
258.948,85.0
272.5,93.666
274.586,95.0
282.636,105.0
285.225,115.0
287.5,116.806
302.5,119.842
306.707,125.0
314.864,135.0
317.5,138.232
323.02,145.0
328.422,155.0
331.068,165.0
332.5,166.668
347.5,171.189
353.184,175.0
362.5,181.247
367.405,185.0
377.5,192.724
380.474,195.0
387.73,205.0
392.5,214.118
393.432,215.0
406.547,225.0
407.5,225.727
419.662,235.0
422.5,237.164
432.777,245.0
437.5,248.247
446.79,255.0
452.5,259.071
461.903,265.0
467.5,269.313
479.485,275.0
482.5,277.573
497.5,280.655
512.5,282.69
527.5,284.855
528.602,285.0
542.5,286.853
557.5,290.129
572.5,294.854
572.963,295.0
587.5,299.221
598.222,295.0
594.64,285.0
588.106,275.0
587.5,274.072
582.349,265.0

