#: table_doi: 10.17182/hepdata.81726.v1/t15
#: name: Exclusion contour 5 (exp.)
#: description: Expected 95% CL exclusion contours from the on-Z signal regions on the gluino and next-to-lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.
#: data_file: limitsFig14aExp.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO2) [GEV]'
608.585858586,628.585858586
610.510283175,630.510283175
623.232323232,643.232323232
637.878787879,657.878787879
642.385500687,662.385500687
652.525252525,672.525252525
667.171717172,687.171717172
670.611685087,690.611685087
681.818181818,701.818181818
695.610792544,715.610792544
696.464646465,716.464646465
711.111111111,731.111111111
717.959523794,737.959523794
725.757575758,745.757575758
737.846512742,757.846512742
740.404040404,760.404040404
755.050505051,775.050505051
755.94611465,775.94611465
769.696969697,789.696969697
773.012684855,793.012684855
782.751688979,802.751688979
782.751508259,802.751508259
784.343434343,804.343434343
789.669338706,809.669338706
798.98989899,818.98989899
806.537752559,826.537752559
813.636363636,833.636363636
824.035259093,844.035259093
828.282828283,848.282828283
842.277032761,862.277032761
842.929292929,862.929292929
857.575757576,877.575757576
861.305623184,881.305623184
872.222222222,892.222222222
880.646553276,900.646553276
886.868686869,906.868686869
900.023419446,920.023419446
901.515151515,921.515151515
916.161616162,936.161616162
919.49539946,939.49539946
923.417742108,943.417742108
924.054687986,944.054687986
930.808080808,950.808080808
938.848508039,958.848508039
945.454545455,965.454545455
958.30250913,978.30250913
960.101010101,980.101010101
974.747474747,994.747474747
978.150922446,998.150922446
989.393939394,1009.39393939
998.236718861,1018.23671886
1004.04040404,1024.04040404
1018.22562949,1038.22562949
1018.68686869,1038.68686869
1033.33333333,1053.33333333
1038.03234492,1058.03234492
1047.97979798,1067.97979798
1057.32123611,1077.32123611
1062.62626263,1082.62626263
1076.22892436,1096.22892436
1077.27272727,1097.27272727
1091.91919192,1111.91919192
1095.13149052,1115.13149052
1106.56565657,1126.56565657
1114.25262199,1134.25262199
1121.21212121,1141.21212121
1133.73072219,1153.73072219
1135.85858586,1155.85858586
1150.50505051,1170.50505051
1153.69476175,1173.69476175
1165.15151515,1185.15151515
1173.89720809,1193.89720809
1179.7979798,1199.7979798
1194.05106231,1214.05106231
1194.44444444,1214.44444444
1209.09090909,1229.09090909
1214.2584184,1234.2584184
1223.73737374,1243.73737374
1234.44812388,1254.44812388
1238.38383838,1258.38383838
1253.03030303,1273.03030303
1254.94433099,1274.94433099
1267.67676768,1287.67676768
1276.12409293,1296.12409293
1282.32323232,1302.32323232
1296.96969697,1316.96969697
1297.89044343,1317.89044343
1311.61616162,1331.61616162
1320.58601084,1340.58601084
1326.26262626,1346.26262626
1340.90909091,1360.90909091
1343.50228723,1363.50228723
1355.55555556,1375.55555556
1366.61161027,1386.61161027
1370.2020202,1390.2020202
1384.84848485,1404.84848485
1389.84786331,1409.84786331
1399.49494949,1419.49494949
1413.44024742,1433.44024742
1414.14141414,1434.14141414
1428.78787879,1448.78787879
1438.93223675,1458.93223675
1443.43434343,1463.43434343
1458.08080808,1478.08080808
1467.04974746,1487.04974746
1472.72727273,1492.72727273
1487.37373737,1507.37373737
1499.35984297,1519.35984297
1502.02020202,1522.02020202
1516.66666667,1536.66666667
1531.31313131,1551.31313131
1541.12991183,1561.12991183
1545.95959596,1565.95959596
1560.60606061,1580.60606061
1575.25252525,1595.25252525
1589.8989899,1609.8989899
1601.27061663,1621.27061663
1604.54545455,1624.54545455
1616.95323968,1636.95323968
1619.19191919,1639.19191919
1624.23964862,1644.23964862
1628.75107168,1648.75107168
1631.83210991,1651.83210991
1633.83838384,1653.83838384
1634.04558834,1654.04558834
1635.76410974,1655.76410974
1637.2351391,1657.2351391
1638.6498413,1658.6498413
1640.16146398,1268.48484848
1641.8544356,1248.68686869
1643.71524869,1228.88888889
1645.62789603,1209.09090909
1647.40110605,1189.29292929
1648.48484848,1174.10933626
1648.82592804,1169.49494949
1649.7063642,1149.6969697
1649.85533172,1129.8989899
1649.19007871,1110.1010101
1648.48484848,1100.71545917
1647.71834619,1090.3030303
1645.50719047,1070.50505051
1642.6363699,1050.70707071
1639.24706593,1030.90909091
1635.50823439,1011.11111111
1633.83838384,1002.64336134
