#: table_doi: 10.17182/hepdata.81726.v1/t14
#: name: Exclusion contour 5 (obs.)
#: description: Observed 95% CL exclusion contours from the on-Z signal regions on the gluino and next-to-lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.
#: data_file: limitsFig14aObs.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO2) [GEV]'
608.585858586,628.585858586
610.52667972,630.52667972
623.232323232,643.232323232
637.878787879,657.878787879
642.384272416,662.384272416
652.525252525,672.525252525
667.171717172,687.171717172
670.605255029,690.605255029
681.818181818,701.818181818
695.603373944,715.603373944
696.464646465,716.464646465
711.111111111,731.111111111
717.951928467,737.951928467
725.757575758,745.757575758
737.83935945,757.83935945
740.404040404,760.404040404
755.050505051,775.050505051
755.939231927,775.939231927
769.696969697,789.696969697
773.006429233,793.006429233
782.748995394,802.748995394
782.752224966,802.752224966
784.343434343,804.343434343
789.668134989,809.668134989
798.98989899,818.98989899
806.530026,826.530026
813.636363636,833.636363636
824.020342991,844.020342991
828.282828283,848.282828283
842.255040893,862.255040893
842.929292929,862.929292929
857.575757576,877.575757576
861.276056506,881.276056506
872.222222222,892.222222222
880.615153745,900.615153745
886.868686869,906.868686869
899.997266057,919.997266057
901.515151515,921.515151515
916.161616162,936.161616162
919.484802231,939.484802231
924.054950548,944.054950548
924.051466776,944.051466776
930.808080808,950.808080808
938.840356776,958.840356776
945.454545455,965.454545455
958.295679514,978.295679514
960.101010101,980.101010101
974.747474747,994.747474747
978.146223741,998.146223741
989.393939394,1009.39393939
998.235577683,1018.23557768
1004.04040404,1024.04040404
1018.22890105,1038.22890105
1018.68686869,1038.68686869
1033.33333333,1053.33333333
1038.04278159,1058.04278159
1047.97979798,1067.97979798
1057.34035631,1077.34035631
1062.62626263,1082.62626263
1076.25913247,1096.25913247
1077.27272727,1097.27272727
1091.91919192,1111.91919192
1095.17970123,1115.17970123
1106.56565657,1126.56565657
1114.32372818,1134.32372818
1121.21212121,1141.21212121
1133.8294258,1153.8294258
1135.85858586,1155.85858586
1150.50505051,1170.50505051
1153.830849,1173.830849
1165.15151515,1185.15151515
1174.05945336,1194.05945336
1179.7979798,1199.7979798
1194.22159785,1214.22159785
1194.44444444,1214.44444444
1209.09090909,1229.09090909
1214.41041303,1234.41041303
1223.73737374,1243.73737374
1234.53638827,1254.53638827
1238.38383838,1258.38383838
1253.03030303,1273.03030303
1254.91627421,1274.91627421
1267.67676768,1287.67676768
1275.8903425,1295.8903425
1282.32323232,1302.32323232
1296.96969697,1316.96969697
1297.31294654,1317.31294654
1311.61616162,1331.61616162
1319.5155066,1339.5155066
1326.26262626,1346.26262626
1340.90909091,1360.90909091
1341.66712743,1361.66712743
1355.55555556,1375.55555556
1363.99772406,1383.99772406
1370.2020202,1390.2020202
1384.84848485,1404.84848485
1386.04422579,1406.04422579
1399.49494949,1419.49494949
1408.65329033,1428.65329033
1414.14141414,1434.14141414
1428.78787879,1448.78787879
1432.05433315,1452.05433315
1443.43434343,1463.43434343
1456.93593185,1476.93593185
1458.08080808,1478.08080808
1472.72727273,1492.72727273
1483.95051512,1503.95051512
1487.37373737,1507.37373737
1502.02020202,1522.02020202
1512.56568734,1532.56568734
1516.66666667,1536.66666667
1531.31313131,1551.31313131
1542.82830548,1562.82830548
1545.95959596,1565.95959596
1560.60606061,1580.60606061
1575.25252525,1595.25252525
1578.17162092,1598.17162092
1589.8989899,1609.8989899
1604.54545455,1624.54545455
1619.19191919,1639.19191919
1633.83838384,1653.83838384
1647.6833756,1667.6833756
1648.48484848,1668.48484848
1660.78086272,1680.78086272
1663.13131313,1683.13131313
1666.9304955,1686.9304955
1670.30603192,1690.30603192
1672.37386443,1692.37386443
1673.80089731,1693.80089731
1674.94892208,1694.94892208
1676.00332198,1696.00332198
1677.06010275,1697.06010275
1677.77777778,1697.77777778
1678.19488289,1698.19488289
1679.47396151,1699.47396151
1680.91010041,1268.48484848
1682.50914279,1248.68686869
1684.22601448,1228.88888889
1685.95794793,1209.09090909
1687.55695229,1189.29292929
1688.85568361,1169.49494949
1689.69521208,1149.6969697
1689.9457024,1129.8989899
1689.51750188,1110.1010101
1688.3651152,1090.3030303
1686.48767824,1070.50505051
1683.92775219,1050.70707071
1680.76793838,1030.90909091
1677.77777778,1014.64140683
1677.14109197,1011.11111111
1673.26530343,991.313131313
1669.21585141,971.515151515
1665.13283868,951.717171717
1663.13131313,941.819051687
1661.20159515,931.919191919
1657.50793848,912.121212121
1654.00494296,892.323232323
1652.23537342,881.876680498
1648.48484848,875.944407039
1646.49043702,872.525252525
1635.39193626,852.727272727
1633.83838384,849.954635794
1625.04230036,832.929292929
1619.19191919,822.269615341
1614.51270912,813.131313131
1604.54545455,795.83600621
1603.1767658,793.333333333
1590.51954437,773.535353535
1589.8989899,772.71282545
1575.89434299,753.737373737
1584.60486869,765.53961058
1585.2878497,753.737373737
1586.36969656,733.939393939
1587.44436968,714.141414141
1588.54579979,694.343434343
1589.6841093,674.545454545
1589.8989899,670.92705075
1590.87809203,654.747474747
1592.06456606,634.949494949
1593.1735847,615.151515152
1594.12933411,595.353535354
1594.85265919,575.555555556
1595.27026103,555.757575758
1595.32173804,535.95959596
1594.9642977,516.161616162
1594.17561381,496.363636364
1592.95510397,476.565656566
1591.32335693,456.767676768
1589.8989899,442.733637867
1589.34727817,436.96969697
1587.14297734,417.171717172
1584.70160189,397.373737374
1582.07207444,377.575757576
1579.2836282,357.777777778
1576.33337564,337.97979798
1575.25252525,331.196657965
1573.30000716,318.181818182
1570.04825502,298.383838384
1566.35668041,278.585858586
1562.01475279,258.787878788
1560.60606061,253.335232441
1556.99319646,238.98989899
1550.95547742,219.191919192
1545.95959596,205.545652412
1543.70754859,199.393939394
1535.25020675,179.595959596
1531.31313131,171.521508511
1525.46628959,159.797979798
1516.66666667,144.000036082

