#: table_doi: 10.17182/hepdata.81726.v1/t29
#: name: Cross section UL 3
#: description: The grey numbers show the 95% CL upper limits on the production cross section at each model point, derived from the best expected combination of results in the on-Z $m_{ll}$ windows of SR-medium and SR-high, in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson the lightest neutralino.

#: data_file: ulFig20.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]','X-section U.L. [fb]'
600.0,430.0,1008
600.0,285.0,874
700.0,530.0,584
700.0,385.0,653
700.0,240.0,239
800.0,630.0,617
800.0,410.0,350
900.0,730.0,312
900.0,510.0,262
900.0,290.0,125
1000.0,830.0,295
1000.0,610.0,188
1000.0,390.0,71
1100.0,930.0,305
1100.0,710.0,173
1100.0,490.0,63
1100.0,270.0,21
1200.0,1030.0,377
1200.0,810.0,312
1200.0,590.0,70
1200.0,370.0,26
1400.0,1230.0,387
1400.0,1010.0,393
1400.0,790.0,89
1400.0,570.0,24
1400.0,350.0,14
1600.0,1210.0,399
1600.0,990.0,67
1600.0,770.0,26
1600.0,550.0,16
1600.0,330.0,11
1800.0,1190.0,72
1800.0,970.0,31
1800.0,750.0,16
1800.0,530.0,11
1800.0,310.0,10

