#: table_doi: 10.17182/hepdata.81726.v1/t17
#: name: Exclusion contour 6 (exp.)
#: description: Expected 95% CL exclusion contours from the on-Z signal regions on the squark and next-to-lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.
#: data_file: limitsFig14bExp.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Squark | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(SQUARK) [GEV]','M(NEUTRALINO2) [GEV]'
1220.88250733,477.604729324
1220.95843984,476.599296494
1222.15582248,456.799919192
1223.08700831,437.000541889
1223.73737374,418.796663029
1223.79514759,417.201164587
1224.35617469,397.401787285
1224.82440324,377.602409982
1225.27303905,357.80303268
1225.74250089,338.003655377
1226.20315219,318.204278075
1226.53541412,298.404900772
1226.54681041,278.60552347
1226.02248969,258.806146168
1224.78805923,239.006768865
1223.73737374,228.68106705
1222.83658021,219.207391563
1220.29944419,199.40801426
1217.29813181,179.608636958
1214.13381209,159.809259655
608.585858586,628.585858586
613.093121759,633.093121759
623.232323232,643.232323232
632.908776394,652.908776394
637.878787879,657.878787879
652.414904032,672.414904032
652.525252525,672.525252525
667.171717172,687.171717172
671.899245231,691.899245231
681.818181818,701.818181818
691.211319491,711.211319491
696.464646465,716.464646465
710.529527468,730.529527468
711.111111111,731.111111111
725.757575758,745.757575758
730.307122524,750.307122524
740.404040404,760.404040404
750.286340213,770.286340213
755.050505051,775.050505051
769.696969697,789.696969697
770.303856976,790.303856976
784.343434343,804.343434343
790.396872,810.396872
798.98989899,818.98989899
810.328566346,830.328566346
813.636363636,833.636363636
828.282828283,848.282828283
830.383589578,850.383589578
842.929292929,862.929292929
850.612058149,870.612058149
857.575757576,877.575757576
870.816440064,890.816440064
872.222222222,892.222222222
886.868686869,906.868686869
891.26548885,911.26548885
901.515151515,921.515151515
911.801820105,931.801820105
916.161616162,936.161616162
930.808080808,950.808080808
932.366916433,952.366916433
945.454545455,965.454545455
952.98799583,972.98799583
960.101010101,980.101010101
973.495592052,993.495592052
974.747474747,994.747474747
989.393939394,1009.39393939
994.512282037,1014.51228204
1004.04040404,1024.04040404
1015.65082656,1035.65082656
1018.68686869,1038.68686869
1033.33333333,1053.33333333
1037.17096904,1057.17096904
1047.97979798,1067.97979798
1059.06240854,1079.06240854
1062.62626263,1082.62626263
1077.27272727,1097.27272727
1081.97390131,1101.97390131
1091.91919192,1111.91919192
1106.03537763,1126.03537763
1106.56565657,1126.56565657
1121.21212121,1141.21212121
1131.28200857,1151.28200857
1135.85858586,1155.85858586
1150.50505051,1170.50505051
1156.27463875,1176.27463875
1165.15151515,1185.15151515
1179.7979798,1199.7979798
1181.66361889,1201.66361889
1194.44444444,1214.44444444
1209.09090909,1229.09090909
1210.69592645,1230.69592645
1223.73737374,1243.73737374
1238.38383838,1258.38383838
1253.03,1273.31
1254.81,1274.58
1267.68,1287.6
1282.32,1302.67
1311.52,1331.58
1310.97,1336.55
1309.49,1329.78
1308.83,1328.98
1307.98,1110.18
1306.71562831,1090.37999287
1304.00682649,1070.58061557
1300.60206026,1050.78123827
1297.15491174,1030.98186096
1296.96969697,1029.73754476
1294.26302738,1011.18248366
1292.16585743,991.383106358
1290.86950861,971.583729055
1290.2344211,951.784351753
1290.04188208,931.98497445
1290.03867149,912.185597148
1289.96474248,892.386219846
1289.57925019,872.586842543
1288.68865094,852.787465241
1287.17277291,832.988087938
1285.00282869,813.188710636
1282.32323232,793.962185567
1282.24581392,793.389333333
1279.14224497,773.589956031
1275.7602908,753.790578728
1272.25653077,733.991201426
1268.73127671,714.191824124
1267.67676768,708.257360809
1265.29712943,694.392446821
1261.8696573,674.593069519
1258.31709179,654.793692216
1254.53187428,634.994314914
1253.03030303,627.69547588
1250.55130393,615.194937611
1246.331254,595.395560309
1241.84696932,575.596183007
1238.38383838,560.739274186
1237.26650478,555.796805704
1232.86705549,535.997428402
1228.60196085,516.198051099
1224.50903969,496.398673797
1223.73737374,492.504551372
1220.8875359,477.612034392
1220.1904005,476.599296494
1220.88250733,477.604729324

