#: table_doi: 10.17182/hepdata.81726.v1/t28
#: name: Cross section UL 2
#: description: The grey numbers show the 95% CL upper limits on the production cross section at each model point, derived from the best expected combination of results in the on-Z $m_{ll}$ windows of SR-medium and SR-high, SUSY scenario where squarks are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.

#: data_file: ulFig19b.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
'M(SQUARK) [GEV]','M(NEUTRALINO2) [GEV]','X-section U.L. [fb]'
600.0,530.0,7
600.0,380.0,53
600.0,230.0,102
700.0,630.0,6
700.0,480.0,24
700.0,330.0,38
800.0,730.0,13
800.0,580.0,14
800.0,280.0,31
900.0,830.0,10
900.0,680.0,10
900.0,530.0,13
900.0,380.0,16
900.0,230.0,28
1000.0,930.0,9
1000.0,780.0,9
1000.0,630.0,9
1000.0,480.0,13
1000.0,330.0,15
1100.0,830.0,8
1100.0,630.0,9
1100.0,430.0,11
1100.0,230.0,14
1200.0,730.0,7
1200.0,530.0,9
1200.0,330.0,13
1200.0,1130.0,8
1200.0,930.0,7
1300.0,1230.0,7
1300.0,1030.0,6
1300.0,830.0,6
1300.0,630.0,8
1300.0,430.0,11
1300.0,230.0,10
1400.0,1330.0,7
1400.0,1130.0,6
1400.0,930.0,6
1400.0,730.0,10
1400.0,530.0,10
1400.0,330.0,10
1500.0,1430.0,7
1500.0,1230.0,6
1500.0,1030.0,6
1500.0,830.0,9
1500.0,630.0,8
1500.0,430.0,9
1500.0,230.0,8
1600.0,1530.0,7
1600.0,1330.0,6
1600.0,1130.0,11
1600.0,930.0,9
1600.0,730.0,8
1600.0,530.0,8
1600.0,330.0,9
1700.0,1230.0,10
1700.0,1030.0,9
1700.0,830.0,8
1700.0,630.0,8
1700.0,430.0,8
1700.0,230.0,7

