#: table_doi: 10.17182/hepdata.79304.v4/t60
#: name: Table 60
#: description: $\textbf{X-section U.L. 1 } -$ Observed upper limit on the signal cross section for the bino LSP model in the m(STOP) vs m(NEUTRALINO) plane.

#: data_file: limit_stop_tN-limit.yaml
#: keyword cmenergies: 13000.0
M(NEUTRALINO) [GeV],M(STOP) [GeV],UPPER CROSS SECTION LIMIT [pb]
1.0,195.0,85.54662478749081
1.0,450.0,0.11804255317707986
1.0,500.0,0.08014418243482313
1.0,550.0,0.04802954235227478
1.0,600.0,0.035208589083730646
1.0,650.0,0.025938748984117833
1.0,700.0,0.021097802793717188
1.0,750.0,0.015304746271286323
1.0,800.0,0.012443788212501037
1.0,850.0,0.010701738221460904
1.0,900.0,0.008848321723079597
1.0,950.0,0.0098034028080405
1.0,1000.0,0.009112370179934258
1.0,1050.0,0.007865109504090898
1.0,1100.0,0.007279590890091573
1.0,1150.0,0.007119217262226287
1.0,1200.0,0.006646593462770909
12.0,200.0,38.65940091599905
17.0,190.0,56.37540147919616
23.0,190.0,90.82835672556378
27.0,200.0,45.9594465200673
50.0,450.0,0.18029866092953453
50.0,500.0,0.08154658983880059
50.0,550.0,0.06461713787808339
50.0,600.0,0.036609176477157584
50.0,650.0,0.030957709999395573
50.0,700.0,0.019088305032439985
50.0,750.0,0.017066646535705096
50.0,800.0,0.014318810350801212
50.0,850.0,0.010717186870933468
50.0,900.0,0.011030933952162522
50.0,950.0,0.010284665020479682
50.0,1000.0,0.009049626563503683
50.0,1050.0,0.009028320523094671
50.0,1100.0,0.006749205454977755
50.0,1150.0,0.0065373171126383595
50.0,1200.0,0.006936436139197427
53.0,220.0,60.78614683889106
60.0,220.0,41.84900057767474
62.0,250.0,4.030306028242475
77.0,250.0,4.390681002316632
100.0,250.0,10.169740630721057
100.0,450.0,0.1736723335534485
100.0,500.0,0.0944995328824205
100.0,550.0,0.05851320606928333
100.0,600.0,0.045075568326555134
100.0,650.0,0.030575627055322362
100.0,700.0,0.026048053017299004
100.0,750.0,0.017764760592883847
100.0,800.0,0.013275971258926223
100.0,850.0,0.00993877356161387
100.0,900.0,0.008442662795085704
100.0,950.0,0.010219245112521185
100.0,1000.0,0.00922718002214048
100.0,1050.0,0.009220032792687918
100.0,1100.0,0.008595057430943052
100.0,1150.0,0.006567348699314525
100.0,1200.0,0.006934223737919596
112.0,300.0,2.1624174778037233
127.0,300.0,1.5521995835203866
130.0,250.0,5.970537594854797
150.0,300.0,3.331160581548454
150.0,350.0,1.811757217558005
150.0,450.0,0.3040177677755332
150.0,500.0,0.14465944519895751
150.0,550.0,0.07677585142648675
150.0,600.0,0.05379709179356095
150.0,650.0,0.03209286235984057
150.0,700.0,0.025781475882968988
150.0,750.0,0.017447236797318817
150.0,800.0,0.014545695815837655
150.0,850.0,0.011951562765381028
150.0,900.0,0.009508351722908008
150.0,950.0,0.011187936839924988
150.0,1000.0,0.009085385572072613
150.0,1050.0,0.008246429874404123
150.0,1100.0,0.007869647793032312
150.0,1150.0,0.006608988352050112
150.0,1200.0,0.006670088507734546
160.0,250.0,7.253616463126621
162.0,350.0,1.4693034426229783
175.0,400.0,1.0205184749732508
177.0,350.0,1.3292826462968357
180.0,300.0,2.0280299026666975
185.0,350.0,2.5427520447890286
200.0,250.0,14.151886878162502
200.0,350.0,1.9342777271534721
200.0,400.0,0.95524818868232
200.0,500.0,0.22425882724444288
200.0,550.0,0.10230684248976853
200.0,600.0,0.06427246718821517
200.0,650.0,0.038217023241203255
200.0,700.0,0.03394421663083326
200.0,750.0,0.020353162123888248
200.0,800.0,0.015142155380129729
200.0,850.0,0.011145117414852721
200.0,900.0,0.011205167754226272
200.0,950.0,0.011394021471347708
200.0,1000.0,0.009387718780250617
200.0,1050.0,0.010450175925216533
200.0,1100.0,0.007669233745618617
200.0,1150.0,0.007623071591909774
200.0,1200.0,0.006100121456050558
210.0,300.0,4.9540218275784245
212.0,400.0,0.8536417420081536
227.0,400.0,0.8430460761566398
230.0,250.0,13.233948335125593
230.0,350.0,1.879730451651541
235.0,400.0,1.1988354480134893
243.0,250.0,105.02280905691991
250.0,300.0,12.243651446788057
250.0,400.0,1.3471857295693852
250.0,450.0,0.5898649624568737
250.0,500.0,0.5719968981699448
250.0,550.0,0.15003542308030143
250.0,600.0,0.08809405573683453
250.0,650.0,0.053250639416563106
250.0,700.0,0.035500935378315786
250.0,750.0,0.023742478111226314
250.0,800.0,0.02181129088296333
250.0,850.0,0.014870877125472847
250.0,900.0,0.01142794846255778
250.0,950.0,0.011447301599820778
250.0,1000.0,0.010658301947117178
250.0,1050.0,0.008323130196910753
250.0,1100.0,0.009421885644464632
250.0,1150.0,0.007575615796144562
250.0,1200.0,0.007106169747915458
260.0,350.0,5.322177378217958
277.0,450.0,0.5792818884170583
280.0,300.0,9.539881755585343
280.0,400.0,1.4787367632290898
285.0,450.0,0.9557940010610368
293.0,300.0,173.06549479164502
300.0,350.0,6.894015518221663
300.0,450.0,0.8242287287547457
300.0,500.0,0.6548694200076545
300.0,550.0,0.5058423108844179
300.0,600.0,0.13732485129707134
300.0,650.0,0.07203597047045932
300.0,700.0,0.04936417302166799
300.0,750.0,0.03106945549236946
300.0,800.0,0.022907809105709675
300.0,850.0,0.016520477289465506
300.0,900.0,0.011274444442363375
300.0,950.0,0.014098715761227967
300.0,1000.0,0.008844345321801516
300.0,1050.0,0.010426045092196074
300.0,1100.0,0.00801074860330927
300.0,1150.0,0.007221765327339247
300.0,1200.0,0.007171164458971106
310.0,400.0,2.379206741291355
312.0,500.0,0.5973316732876657
327.0,500.0,0.47837387426546807
330.0,350.0,7.350276088254128
330.0,450.0,1.050480552543443
335.0,500.0,0.8566013664713678
340.0,350.0,100.3034441461421
350.0,400.0,5.134059491386823
350.0,500.0,1.0157268681710716
350.0,550.0,0.4146506390615745
350.0,600.0,0.36776097836565297
350.0,650.0,0.1335216495290987
350.0,700.0,0.05853868956475115
350.0,750.0,0.04940778833599626
350.0,800.0,0.028939630342514216
350.0,850.0,0.02132188251471494
350.0,900.0,0.013757222429967072
350.0,950.0,0.011080120534650274
350.0,1000.0,0.013526392841990743
350.0,1050.0,0.009341056500916042
350.0,1100.0,0.008084091971056815
350.0,1150.0,0.007499213826663478
350.0,1200.0,0.006628369672154683
360.0,450.0,1.8676888527807725
362.0,550.0,0.42834194940545517
377.0,550.0,0.3721683821602045
380.0,400.0,12.169532633338944
380.0,500.0,0.858088175105924
385.0,550.0,0.515584617220142
400.0,450.0,3.5174782628379395
400.0,550.0,0.8252538386762978
400.0,600.0,0.43078237874366204
400.0,650.0,0.3647667113987806
400.0,700.0,0.10988690476807947
400.0,750.0,0.06282359077147731
400.0,800.0,0.039336552413767434
400.0,850.0,0.022810766961674292
400.0,900.0,0.018097609543466325
400.0,950.0,0.013933884261781687
400.0,1050.0,0.013072611014923113
400.0,1100.0,0.012377276312352067
400.0,1150.0,0.00826543600070128
400.0,1200.0,0.008077379435394869
412.0,600.0,0.3748982823061434
427.0,600.0,0.29305553147807395
430.0,450.0,8.32213940545398
430.0,550.0,1.1318271123804835
435.0,600.0,0.7173739295032808
450.0,500.0,1.9948335063054012
450.0,600.0,0.5821091849662531
450.0,650.0,3.819586253612628
450.0,700.0,0.23854515719113045
450.0,750.0,0.11264356813949003
450.0,800.0,0.053380578770346306
450.0,850.0,0.033098710693864566
450.0,900.0,0.024289612815821243
450.0,950.0,0.016351209917005522
450.0,1000.0,0.010221370639617387
450.0,1050.0,0.010566353450896262
450.0,1100.0,0.010610094028667656
450.0,1150.0,0.007958464522686032
450.0,1200.0,0.008242895647483409
460.0,550.0,1.8124148606867434
462.0,650.0,0.33642721735193537
470.0,550.0,4.059503416827994
477.0,650.0,0.3188272312350702
480.0,500.0,30.423318185643982
480.0,600.0,0.5730861821330174
485.0,650.0,0.42655174681778185
500.0,550.0,1.2612468151639642
500.0,650.0,0.5877771274391171
500.0,700.0,0.696748690581383
500.0,750.0,0.33940598380852527
500.0,800.0,0.08735856915505748
500.0,850.0,0.05951835945762759
500.0,900.0,0.02982354114931058
500.0,950.0,0.0280026460338648
500.0,1000.0,0.024015011185658353
500.0,1050.0,0.012762123237019007
500.0,1100.0,0.013585629915027098
500.0,1150.0,0.011745158034295473
510.0,600.0,1.4206756518469958
530.0,550.0,3.601857115233948
530.0,650.0,0.5198943594126648
550.0,750.0,0.7862275054449337
550.0,800.0,0.27482946956602006
550.0,850.0,0.07718857272111686
550.0,900.0,0.042848977590365475
550.0,950.0,0.03394973740895261
550.0,1000.0,0.024237048927233485
550.0,1050.0,0.014568814515029054
550.0,1100.0,0.015726512664556113
550.0,1150.0,0.014866824410370755
550.0,1200.0,0.00964746761774229
560.0,650.0,1.0667947287669841
600.0,850.0,0.24642119595994277
600.0,900.0,0.08916278890697275
600.0,950.0,0.04895639506848689
600.0,1000.0,0.03220058558466021

