#: table_doi: 10.17182/hepdata.79304.v4/t70
#: name: Table 70
#: description: $\textbf{X-section U.L. 11 } -$ Observed upper limit on the signal cross section for the simplified model with m(STOP) - m(CHARGINO) = 10 GeV.

#: data_file: limit_bveto-limit.yaml
#: keyword cmenergies: 13000.0
M(NEUTRALINO) [GeV],M(STOP) [GeV],UPPER CROSS SECTION LIMIT [pb]
1.0,300.0,4.014833372023163
1.0,400.0,0.29676657416988755
1.0,450.0,0.14010158195946376
1.0,500.0,0.09103125950969039
1.0,550.0,0.05239031015675011
1.0,600.0,0.03948063412842851
1.0,650.0,0.03338737058867219
1.0,700.0,0.024927201910444344
1.0,750.0,0.022814713442346236
1.0,800.0,0.021845264578619343
1.0,850.0,0.02159651654724585
1.0,900.0,0.019099997662155303
100.0,500.0,0.10447531715788776
100.0,550.0,0.05876489151840648
100.0,600.0,0.04161704112381943
100.0,650.0,0.03624402570102438
100.0,700.0,0.030350234033078866
100.0,750.0,0.023972310581725415
100.0,800.0,0.024790774904729668
100.0,850.0,0.0191253863744746
100.0,900.0,0.020696705782733443
195.0,400.0,3.2794405135298943
200.0,300.0,53.72739674828413
200.0,500.0,0.19394142981324516
200.0,550.0,0.11106656678690523
200.0,600.0,0.054081387727586375
200.0,650.0,0.042832152782002024
200.0,700.0,0.030898197909569124
200.0,750.0,0.026826408900990615
200.0,800.0,0.025356635557412657
200.0,850.0,0.022891807626702888
200.0,900.0,0.019448509634312765
245.0,500.0,0.2733255733615853
250.0,400.0,5.0012250384444314
295.0,600.0,0.11504056956819649
300.0,400.0,42.008336559235566
300.0,450.0,4.316109776330467
300.0,550.0,0.27365336333142076
300.0,600.0,0.1321388784194805
300.0,650.0,0.07291047347394024
300.0,700.0,0.055285201145224616
300.0,750.0,0.031248166870110623
300.0,800.0,0.026712636925999268
300.0,850.0,0.02371371761008699
300.0,900.0,0.023962613005114028
345.0,700.0,0.0590351670142657
350.0,500.0,2.927215748255075
350.0,550.0,0.43820337390333086
400.0,600.0,0.5750072322509387
400.0,650.0,0.22976918769674678
400.0,700.0,0.09190943186268205
400.0,750.0,0.05526836029676161
400.0,800.0,0.03491057597648834
400.0,850.0,0.030883321320191802
400.0,900.0,0.024966264400797605
450.0,600.0,1.2369811204137047
450.0,650.0,0.5985026173189429
500.0,700.0,0.43049132652561073
500.0,800.0,0.06741598510139722
550.0,700.0,3.901122848095342
600.0,800.0,0.2889014823410576

