#: table_doi: 10.17182/hepdata.81626.v1/t10
#: name: Exclusion contour (observed) 2
#: description: Observed exclusion limits in the gluino--bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{S-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 1600$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{S-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}} < 1600$ GeV.
#: data_file: data10.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GeV],13000.0
#M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
2265,2244.16
2274.53,2241.25
2265,2204.37
2259.53,2181.75
2252.17,2122.25
2238.94,2062.75
2235,2035.74
2228.88,2003.25
2228.26,1943.75
2229.61,1884.25
2230.28,1824.75
2227.33,1765.25
2223.8,1705.75
2219.49,1646.25
2214.98,1586.75
2210.82,1527.25
2207.73,1467.75
2205,1421.3
2204.37,1408.25
2201.48,1348.75
2198.58,1289.25
2195.79,1229.75
2194.25,1170.25
2194.55,1110.75
2194.85,1051.25
2195.15,991.75
2194.93,932.25
2191.91,872.75
2187.81,813.25
2183.71,753.75
2179.61,694.25
2175.14,634.75
2175,633.223
2169.34,575.25
2162.41,515.75
2155.35,456.25
2149.48,396.75
2148.24,337.25
2147.6,277.75
2151.6,218.25
2160.47,158.75
2169.3,99.25
2175,52.5081
2176.59,39.75

