#: table_doi: 10.17182/hepdata.81626.v1/t25
#: name: Cross section UL 4
#: description: Derived exclusion limits for the $\mu > 0$ higgsino-bino GGM model explored by the photon+jets analysis. For each point in the higgsino-bino parameter space, the SR ($\mathrm{SR}^{\gamma j}_{L}$ or $\mathrm{SR}^{\gamma j}_{H}$) that provides the best expected sensitivity is used to estimate the exclusion likelihood. The model dependent upper limits on cross-section (fb) are shown by grey numbers for each signal point.
#: data_file: data25.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],X-section U.L.
1336,147,11.39
1336,191,9.39
1336,239,7.55
1336,442,3.12
1336,652,8.97
1336,862,4.25
1336,1073,2.46
1336,1230,2.25
1336,1283,2.15
1429,147,11.11
1429,191,7.47
1429,239,5.93
1429,442,3.05
1429,652,7.67
1429,862,3.66
1429,1073,2.24
1429,1283,1.72
1429,1325,1.76
1429,1377,1.7
1522,147,8.43
1522,191,7.04
1522,239,5.08
1522,442,2.6
1522,652,1.8
1522,862,3.53
1522,1073,2.14
1522,1283,1.43
1522,1414,1.42
1522,1471,1.5
1614,147,7.78
1614,191,6.17
1614,239,5.07
1614,442,2.39
1614,652,1.73
1614,862,2.78
1614,1073,1.88
1614,1283,1.27
1614,1513,1.15
1614,1555,1.28
1705,147,6.35
1705,191,6.29
1705,239,4.37
1705,442,2.49
1705,652,1.54
1705,862,1.4
1705,1073,1.77
1705,1283,1.23
1705,1492,1.09
1705,1597,1.0
1705,1649,1.13
1795,147,6.81
1795,191,4.94
1795,239,4.4
1795,442,2.16
1795,652,1.66
1795,862,1.37
1795,1073,1.21
1795,1283,1.21
1795,1492,0.96
1795,1691,0.93
1795,1743,1.05
1885,147,6.13
1885,191,5.58
1885,239,4.27
1885,442,2.07
1885,652,1.53
1885,862,1.31
1885,1073,1.21
1885,1283,1.3
1885,1492,0.93
1885,1701,0.85
1885,1785,0.88
1885,1826,0.94
1974,147,6.45
1974,191,4.7
1974,239,3.51
1974,442,2.11
1974,652,1.62
1974,862,1.22
1974,1073,1.23
1974,1283,1.22
1974,1492,0.94
1974,1701,0.76
1974,1868,0.84
1974,1920,0.89
2063,147,6.79
2063,191,5.41
2063,239,4.19
2063,442,2.1
2063,652,1.51
2063,862,1.32
2063,1073,1.19
2063,1283,1.16
2063,1492,1.23
2063,1701,0.78
2063,1956,0.77
2063,2008,0.9
2151,147,6.45
2151,191,5.45
2151,239,4.48
2151,442,2.0
2151,652,1.5
2151,862,1.35
2151,1073,1.21
2151,1283,1.09
2151,1492,1.11
2151,1701,0.79
2151,1909,0.72
2151,2039,0.74
2151,2091,0.77
2239,147,6.15
2239,191,4.96
2239,239,3.96
2239,442,2.07
2239,652,1.61
2239,862,1.38
2239,1073,1.2
2239,1283,1.17
2239,1492,1.19
2239,1701,1.28
2239,1909,0.67
2239,2127,0.69
2239,2178,0.8
2326,147,5.99
2326,191,6.15
2326,239,4.43
2326,442,2.25
2326,652,1.59
2326,862,1.29
2326,1073,1.27
2326,1283,1.2
2326,1492,1.18
2326,1701,1.24
2326,1909,1.92
2326,2117,0.66
2326,2214,0.68
2326,2265,0.74
2412,147,6.98
2412,191,5.29
2412,239,4.32
2412,442,2.42
2412,652,1.7
2412,862,1.42
2412,1073,1.24
2412,1283,1.22
2412,1492,1.2
2412,1701,1.19
2412,1909,1.48
2412,2117,4.16
2412,2296,0.67
2412,2347,0.71

