# From https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVgluglu
# NLO + NLL for mass < 500 GeV, then NNLOapprox + NNLL: gluino-gluino cross section, 13 TeV
# Mass [Gev] cross-section [pb] Uncertainty
200. GeV 3574.52 ± 14.0616%
205. GeV 3183.21 ± 14.0078%
210. GeV 2832.93 ± 13.9497%
215. GeV 2528.15 ± 13.9683%
220. GeV 2259.15 ± 14.1828%
225. GeV 2021.29 ± 13.8804%
230. GeV 1813.06 ± 14.0218%
235. GeV 1630.97 ± 13.7824%
240. GeV 1468.71 ± 14.1371%
245. GeV 1321.73 ± 14.1639%
250. GeV 1190.35 ± 13.79%
255. GeV 1079.09 ± 14.1224%
260. GeV 974.613 ± 13.8033%
265. GeV 884.867 ± 13.9004%
270. GeV 803.354 ± 13.9615%
275. GeV 730.663 ± 13.9062%
280. GeV 664.936 ± 13.9583%
285. GeV 605.955 ± 13.8771%
290. GeV 553.028 ± 13.9562%
295. GeV 505.51 ± 13.892%
300. GeV 462.593 ± 13.8965%
305. GeV 423.86 ± 13.8693%
310. GeV 388.489 ± 13.931%
315. GeV 357.206 ± 13.9637%
320. GeV 328.507 ± 13.8359%
325. GeV 302.328 ± 13.7667%
330. GeV 278.679 ± 13.9051%
335. GeV 257.028 ± 14.0072%
340. GeV 236.848 ± 13.8858%
345. GeV 219.27 ± 13.9344%
350. GeV 202.663 ± 14.0017%
355. GeV 188.12 ± 13.9853%
360. GeV 174.5 ± 13.9599%
365. GeV 161.954 ± 13.9485%
370. GeV 150.415 ± 13.8693%
375. GeV 139.838 ± 13.7851%
380. GeV 129.783 ± 14.1158%
385. GeV 121.226 ± 13.8818%
390. GeV 112.715 ± 13.7689%
395. GeV 105.154 ± 13.5329%
400. GeV 98.0459 ± 13.8343%
405. GeV 91.457 ± 13.8074%
410. GeV 85.32 ± 13.8223%
415. GeV 79.7218 ± 13.8008%
420. GeV 74.5365 ± 13.8464%
425. GeV 69.7057 ± 13.796%
430. GeV 65.2467 ± 13.8063%
435. GeV 61.0917 ± 13.7678%
440. GeV 57.2741 ± 13.8107%
445. GeV 53.7048 ± 13.7458%
450. GeV 50.4009 ± 13.771%
455. GeV 47.2946 ± 13.7682%
460. GeV 44.3848 ± 13.7604%
465. GeV 41.734 ± 13.8596%
470. GeV 39.2299 ± 13.7836%
475. GeV 36.9223 ± 13.7173%
480. GeV 34.7729 ± 13.7767%
485. GeV 32.7265 ± 13.8065%
490. GeV 30.8133 ± 13.6781%
495. GeV 29.0606 ± 13.7001%
500. GeV	0.338E+02 ± 7.86 %
505. GeV	0.319E+02 ± 7.89 %
510. GeV	0.301E+02 ± 7.92 %
515. GeV	0.284E+02 ± 7.96 %
520. GeV	0.268E+02 ± 8.0 %
525. GeV	0.253E+02 ± 8.03 %
530. GeV	0.240E+02 ± 8.07 %
535. GeV	0.227E+02 ± 8.11 %
540. GeV	0.214E+02 ± 8.14 %
545. GeV	0.203E+02 ± 8.18 %
550. GeV	0.192E+02 ± 8.22 %
555. GeV	0.182E+02 ± 8.26 %
560. GeV	0.172E+02 ± 8.3 %
565. GeV	0.163E+02 ± 8.34 %
570. GeV	0.155E+02 ± 8.37 %
575. GeV	0.147E+02 ± 8.41 %
580. GeV	0.139E+02 ± 8.45 %
585. GeV	0.132E+02 ± 8.49 %
590. GeV	0.126E+02 ± 8.53 %
595. GeV	0.119E+02 ± 8.57 %
600. GeV	0.113E+02 ± 8.62 %
605. GeV	0.108E+02 ± 8.66 %
610. GeV	0.102E+02 ± 8.7 %
615. GeV	0.974E+01 ± 8.74 %
620. GeV	0.926E+01 ± 8.78 %
625. GeV	0.881E+01 ± 8.82 %
630. GeV	0.839E+01 ± 8.86 %
635. GeV	0.799E+01 ± 8.9 %
640. GeV	0.761E+01 ± 8.94 %
645. GeV	0.725E+01 ± 8.98 %
650. GeV	0.690E+01 ± 9.02 %
655. GeV	0.658E+01 ± 9.06 %
660. GeV	0.627E+01 ± 9.1 %
665. GeV	0.598E+01 ± 9.15 %
670. GeV	0.571E+01 ± 9.19 %
675. GeV	0.544E+01 ± 9.23 %
680. GeV	0.520E+01 ± 9.27 %
685. GeV	0.496E+01 ± 9.31 %
690. GeV	0.474E+01 ± 9.35 %
695. GeV	0.452E+01 ± 9.39 %
700. GeV	0.432E+01 ± 9.43 %
705. GeV	0.413E+01 ± 9.46 %
710. GeV	0.395E+01 ± 9.5 %
715. GeV	0.377E+01 ± 9.54 %
720. GeV	0.361E+01 ± 9.58 %
725. GeV	0.345E+01 ± 9.61 %
730. GeV	0.330E+01 ± 9.65 %
735. GeV	0.316E+01 ± 9.69 %
740. GeV	0.302E+01 ± 9.72 %
745. GeV	0.289E+01 ± 9.76 %
750. GeV	0.277E+01 ± 9.8 %
755. GeV	0.265E+01 ± 9.83 %
760. GeV	0.254E+01 ± 9.87 %
765. GeV	0.243E+01 ± 9.91 %
770. GeV	0.233E+01 ± 9.94 %
775. GeV	0.223E+01 ± 9.98 %
780. GeV	0.214E+01 ± 10.01 %
785. GeV	0.205E+01 ± 10.05 %
790. GeV	0.197E+01 ± 10.09 %
795. GeV	0.188E+01 ± 10.12 %
800. GeV	0.181E+01 ± 10.16 %
805. GeV	0.173E+01 ± 10.2 %
810. GeV	0.166E+01 ± 10.23 %
815. GeV	0.160E+01 ± 10.27 %
820. GeV	0.153E+01 ± 10.31 %
825. GeV	0.147E+01 ± 10.34 %
830. GeV	0.141E+01 ± 10.38 %
835. GeV	0.136E+01 ± 10.42 %
840. GeV	0.130E+01 ± 10.45 %
845. GeV	0.125E+01 ± 10.49 %
850. GeV	0.120E+01 ± 10.53 %
855. GeV	0.115E+01 ± 10.57 %
860. GeV	0.111E+01 ± 10.6 %
865. GeV	0.107E+01 ± 10.64 %
870. GeV	0.103E+01 ± 10.68 %
875. GeV	0.986E+00 ± 10.71 %
880. GeV	0.948E+00 ± 10.75 %
885. GeV	0.912E+00 ± 10.79 %
890. GeV	0.877E+00 ± 10.82 %
895. GeV	0.844E+00 ± 10.86 %
900. GeV	0.812E+00 ± 10.89 %
905. GeV	0.781E+00 ± 10.93 %
910. GeV	0.752E+00 ± 10.97 %
915. GeV	0.723E+00 ± 11.0 %
920. GeV	0.696E+00 ± 11.04 %
925. GeV	0.670E+00 ± 11.07 %
930. GeV	0.646E+00 ± 11.11 %
935. GeV	0.622E+00 ± 11.14 %
940. GeV	0.599E+00 ± 11.18 %
945. GeV	0.577E+00 ± 11.21 %
950. GeV	0.556E+00 ± 11.25 %
955. GeV	0.535E+00 ± 11.28 %
960. GeV	0.516E+00 ± 11.32 %
965. GeV	0.497E+00 ± 11.35 %
970. GeV	0.479E+00 ± 11.39 %
975. GeV	0.462E+00 ± 11.42 %
980. GeV	0.445E+00 ± 11.46 %
985. GeV	0.430E+00 ± 11.49 %
990. GeV	0.414E+00 ± 11.53 %
995. GeV	0.399E+00 ± 11.56 %
1000. GeV	0.385E+00 ± 11.6 %
1005. GeV	0.372E+00 ± 11.63 %
1010. GeV	0.359E+00 ± 11.67 %
1015. GeV	0.346E+00 ± 11.7 %
1020. GeV	0.334E+00 ± 11.74 %
1025. GeV	0.322E+00 ± 11.78 %
1030. GeV	0.311E+00 ± 11.81 %
1035. GeV	0.300E+00 ± 11.85 %
1040. GeV	0.290E+00 ± 11.88 %
1045. GeV	0.280E+00 ± 11.92 %
1050. GeV	0.270E+00 ± 11.95 %
1055. GeV	0.261E+00 ± 11.99 %
1060. GeV	0.252E+00 ± 12.02 %
1065. GeV	0.243E+00 ± 12.06 %
1070. GeV	0.235E+00 ± 12.09 %
1075. GeV	0.227E+00 ± 12.13 %
1080. GeV	0.219E+00 ± 12.17 %
1085. GeV	0.212E+00 ± 12.2 %
1090. GeV	0.205E+00 ± 12.24 %
1095. GeV	0.198E+00 ± 12.27 %
1100. GeV	0.191E+00 ± 12.31 %
1105. GeV	0.185E+00 ± 12.34 %
1110. GeV	0.179E+00 ± 12.38 %
1115. GeV	0.173E+00 ± 12.42 %
1120. GeV	0.167E+00 ± 12.45 %
1125. GeV	0.162E+00 ± 12.49 %
1130. GeV	0.156E+00 ± 12.53 %
1135. GeV	0.151E+00 ± 12.56 %
1140. GeV	0.146E+00 ± 12.6 %
1145. GeV	0.141E+00 ± 12.64 %
1150. GeV	0.137E+00 ± 12.67 %
1155. GeV	0.132E+00 ± 12.71 %
