#: table_doi: 10.17182/hepdata.77891.v5/t53
#: name: Exclusion contour(obs.) 5  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data53.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
#599.9,42.38
#570.9,56.33
#524.0,77.12
#510.2,82.29
#449.5,106.9
#437.2,111.9
413.9,413.9
449.5,449.5
459.8,459.4
506.5,494.1
510.2,497.1
535.0,528.9
570.9,561.4
573.6,563.6
606.6,598.4
631.6,620.4
648.9,633.1
686.0,667.9
692.2,671.7
753.0,700.5
758.3,702.6
813.6,723.6
844.3,737.4
874.4,750.3
935.0,767.5
956.7,772.1
995.8,782.1
#1056.0,798.9
#1087.0,806.9
#1117.0,815.6
#1178.0,831.8
#1222.0,841.6
#1239.0,845.5
#1299.0,854.8
#1360.0,855.1
#1421.0,843.8
#1429.0,841.6
#1481.0,828.3
#1542.0,812.8
#1563.0,806.9
#1603.0,794.7
#1649.0,772.1
#1663.0,762.7
#1693.0,737.4
#1717.0,702.6
#1724.0,687.9
#1738.0,667.9
#1763.0,633.1
#1785.0,607.3
#1797.0,598.4
#1846.0,567.7
#1851.0,563.6
#1888.0,528.9
#1906.0,503.8
#1911.0,494.1
#1922.0,459.4
#1930.0,424.6
#1935.0,389.9
#1940.0,355.1
#1945.0,320.4
#1951.0,285.6
#1959.0,250.9
#1967.0,220.0
#1968.0,216.1
#1980.0,181.4
#1988.0,146.6
#1990.0,111.9
#1989.0,77.12
#1989.0,42.38
