#: table_doi: 10.17182/hepdata.77891.v5/t36
#: name: Exclusion contour(obs.) 2  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data36.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
403.4,392.1
422.8,420.0
457.0,457.0
465.3,465.3
486.3,486.3
527.2,527.2
531.9,531.9
572.3,572.3
589.1,589.1
607.3,607.3
650.9,650.9
658.0,658.0
712.8,697.5
717.0,700.0
761.8,740.0
774.7,749.3
827.4,780.0
836.6,785.1
898.4,809.3
943.1,820.0
960.3,825.4
1022.0,841.7
1066.0,860.0
1084.0,871.6
1146.0,896.8
1208.0,900.0
1209.0,900.0
1270.0,900.7
1332.0,905.3
1393.0,908.9
1455.0,910.6
1517.0,907.5
1553.0,900.0
1579.0,894.2
1641.0,860.0
1641.0,859.6
1670.0,820.0
1689.0,780.0
1703.0,755.0
1713.0,740.0
1736.0,700.0
1755.0,660.0
1765.0,646.2
1814.0,620.0
1827.0,616.6
1888.0,615.3
1950.0,597.6
1965.0,580.0
1977.0,540.0
1981.0,500.0
1989.0,460.0
1999.0,420.0
2008.0,380.0
2011.0,340.0
2012.0,327.6
2015.0,300.0
2023.0,260.0
2031.0,220.0
2033.0,180.0
2035.0,140.0
2035.0,100.0
2036.0,60.0
2038.0,20.0

