#: table_doi: 10.17182/hepdata.77891.v5/t52
#: name: Exclusion contour(exp.) 5  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data52.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
599.9,42.38
570.9,56.32
523.9,77.12
510.2,82.26
449.5,106.8
437.0,111.9
408.4,408.4
449.5,449.5
454.3,454.3
496.8,494.1
510.2,505.4
528.1,528.1
561.8,561.8
570.9,570.9
593.5,593.5
629.5,629.5
631.6,631.6
663.1,663.1
692.2,686.0
724.9,702.6
753.0,718.2
793.5,737.4
813.6,755.9
848.6,772.1
874.4,789.1
935.0,804.0
995.8,805.5
1004.0,806.9
1056.0,815.7
1117.0,827.7
1178.0,838.5
1194.0,841.6
1239.0,850.9
1299.0,861.6
1360.0,867.7
1421.0,870.0
1481.0,869.4
1542.0,865.2
1603.0,857.7
1663.0,843.1
1667.0,841.6
1724.0,813.4
1734.0,806.9
1774.0,772.1
1785.0,757.7
1799.0,737.4
1813.0,702.6
1823.0,667.9
1834.0,633.1
1844.0,598.4
1846.0,595.0
1857.0,563.6
1871.0,528.9
1882.0,494.1
1892.0,459.4
1901.0,424.6
1906.0,406.4
1912.0,389.9
1922.0,355.1
1931.0,320.4
1940.0,285.6
1948.0,250.9
1953.0,216.1
1957.0,181.4
1961.0,146.6
1964.0,111.9
1966.0,77.12
1967.0,55.16
1968.0,42.38

