#: table_doi: 10.17182/hepdata.91374.v1/t30
#: name: Figure 29f
#: description: Efficiency for the N2N1 higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.26834
100.0,20.0,0.38248
101.5,1.5,0.32224
102.0,2.0,0.35392
103.0,3.0,0.51349
105.0,5.0,0.41867
110.0,10.0,0.39544
110.0,30.0,0.3071
115.0,15.0,0.41244
120.0,20.0,0.39057
120.0,60.0,0.17819
120.0,40.0,0.35781
126.5,1.5,0.213
127.0,2.0,0.3338
128.0,3.0,0.47296
130.0,30.0,0.34372
130.0,5.0,0.42323
135.0,10.0,0.41171
140.0,40.0,0.30394
140.0,15.0,0.39626
140.0,60.0,0.21782
145.0,20.0,0.41556
152.0,2.0,0.35689
153.0,3.0,0.47743
155.0,30.0,0.24358
155.0,5.0,0.43512
160.0,60.0,0.43852
160.0,10.0,0.39086
165.0,40.0,0.35028
165.0,15.0,0.39986
170.0,20.0,0.41759
178.0,3.0,0.41368
180.0,30.0,0.37365
180.0,5.0,0.40778
185.0,10.0,0.36625
190.0,40.0,0.47446
190.0,15.0,0.48257
195.0,20.0,0.26846
202.0,2.0,0.40654
203.0,3.0,0.40717
205.0,5.0,0.48131
210.0,10.0,0.3768
215.0,15.0,0.44003
220.0,20.0,0.37013
230.0,30.0,0.35519
230.0,5.0,0.49807
235.0,10.0,0.36521
240.0,40.0,0.42543
240.0,15.0,0.38712
252.0,2.0,0.40463
253.0,3.0,0.52812
255.0,5.0,0.41984
260.0,10.0,0.43909
265.0,15.0,0.40537
270.0,20.0,0.36464
280.0,30.0,0.3043
290.0,40.0,0.14348
81.5,1.5,0.0
82.0,2.0,0.482
83.0,3.0,0.46394
85.0,5.0,0.44513
90.0,10.0,0.4086
95.0,15.0,0.39655

