#: table_doi: 10.17182/hepdata.91374.v1/t35
#: name: Figure 30c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.38085
100.0,20.0,1.0149
101.5,1.5,0.0005899
102.0,2.0,0.0021939
103.0,3.0,0.024126
105.0,5.0,0.15547
110.0,10.0,0.93269
110.0,30.0,0.68602
115.0,15.0,1.2702
120.0,20.0,1.2777
120.0,60.0,0.2573
120.0,40.0,0.52138
126.5,1.5,0.00017901
127.0,2.0,0.0015663
128.0,3.0,0.011611
130.0,30.0,0.89276
130.0,5.0,0.13451
135.0,10.0,0.89545
140.0,40.0,0.69116
140.0,15.0,1.3352
140.0,60.0,0.33374
145.0,20.0,1.5167
152.0,2.0,0.0012109
153.0,3.0,0.0097875
155.0,30.0,1.1507
155.0,5.0,0.13339
160.0,60.0,0.43468
160.0,10.0,1.0028
165.0,40.0,0.7818
165.0,15.0,1.683
170.0,20.0,1.9031
178.0,3.0,0.0074017
180.0,30.0,1.5097
180.0,5.0,0.12093
185.0,10.0,1.0109
190.0,40.0,0.93385
190.0,15.0,1.7262
195.0,20.0,1.8607
202.0,2.0,0.00025781
203.0,3.0,0.009753
205.0,5.0,0.090916
210.0,10.0,1.0681
215.0,15.0,1.8496
220.0,20.0,1.8984
230.0,30.0,1.6148
230.0,5.0,0.088248
235.0,10.0,0.96423
240.0,40.0,1.1153
240.0,15.0,1.82
252.0,2.0,0.00019586
253.0,3.0,0.0069904
255.0,5.0,0.084532
260.0,10.0,0.96107
265.0,15.0,1.803
270.0,20.0,1.8045
280.0,30.0,1.7423
290.0,40.0,1.2274
81.5,1.5,0.00025862
82.0,2.0,0.0026427
83.0,3.0,0.02309
85.0,5.0,0.17047
90.0,10.0,0.8656
95.0,15.0,1.1391

