#: table_doi: 10.17182/hepdata.91374.v1/t15
#: name: Figure 16b LH selectron Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct LH selectron production.
#: data_file: figure_16b_lh_selectron_expected.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.7497
51.124,0.7672
52.525,0.7896
53.574,0.8061
55.05,0.8299
56.133,0.847
57.576,0.8704
58.813,0.8898
60.101,0.9108
61.623,0.935
62.626,0.9513
64.568,0.9824
65.151,0.992
67.651,1.032
67.677,1.0325
70.202,1.0735
70.898,1.0844
72.727,1.1143
74.277,1.1395
75.252,1.1556
77.771,1.197
77.778,1.1973
80.303,1.2397
81.398,1.2578
82.828,1.2826
85.087,1.3213
85.353,1.3262
87.879,1.3715
88.83,1.3884
90.404,1.4181
92.566,1.4588
92.929,1.4659
95.454,1.5164
96.267,1.5325
97.98,1.5693
99.887,1.6103
100.51,1.6244
103.03,1.6831
103.4,1.692
105.56,1.7458
106.79,1.7775
108.08,1.8126
110.06,1.8677
110.61,1.8841
113.13,1.9602
113.19,1.9625
115.66,2.0427
116.22,2.0616
118.18,2.1311
119.15,2.1662
120.71,2.2248
122.01,2.2756
123.23,2.3254
124.81,2.3911
125.76,2.4322
127.56,2.5125
128.28,2.5451
130.3,2.6394
130.81,2.6638
133.03,2.7733
133.33,2.7887
135.76,2.9141
135.86,2.9188
138.38,3.0549
138.5,3.0613
140.91,3.1974
141.25,3.2166
143.43,3.345
144.01,3.3799
145.96,3.5003
146.77,3.5506
148.48,3.6627
149.52,3.7308
151.01,3.8335
152.24,3.9201
153.54,4.0161
154.9,4.1181
156.06,4.2111
157.49,4.3271
158.59,4.4228
159.97,4.5457
161.11,4.658
162.31,4.7764
163.64,4.9249
164.47,5.0188
166.16,5.2384
166.42,5.2723
168.15,5.5399
168.69,5.6416
169.61,5.821
170.79,6.115
171.21,6.2633
171.67,6.4254
172.22,6.7515
172.44,7.0925
172.29,7.4525
171.79,7.8289
171.21,8.0835
170.89,8.2262
169.61,8.6437
168.69,8.8797
167.91,9.0803
166.16,9.4624
165.8,9.5411
163.64,9.9518
163.26,10.025
161.11,10.392
160.3,10.532
158.59,10.802
156.92,11.066
156.06,11.194
153.54,11.569
153.15,11.628
151.01,11.929
149.02,12.215
148.48,12.289
145.96,12.639
144.58,12.835
143.43,12.99
140.91,13.341
139.89,13.486
138.38,13.693
135.86,14.047
135.02,14.168
133.33,14.405
130.81,14.771
130.03,14.887
128.28,15.143
125.76,15.524
125.0,15.639
123.23,15.911
120.71,16.312
119.95,16.432
118.18,16.719
115.66,17.143
114.94,17.266
113.13,17.579
110.61,18.026
109.98,18.138
108.08,18.488
105.56,18.967
105.09,19.059
103.03,19.467
100.51,19.976
100.27,20.026
97.98,20.512
95.552,21.038
95.454,21.062
92.929,21.637
90.927,22.105
90.404,22.233
87.879,22.851
86.395,23.227
85.353,23.496
82.828,24.166
81.96,24.401
80.303,24.871
77.778,25.592
77.624,25.639
75.252,26.363
73.402,26.934
72.727,27.158
70.202,27.996
69.289,28.301
67.677,28.873
65.289,29.737
65.151,29.785
62.626,30.768
61.415,31.239
60.101,31.791
57.661,32.825
57.576,32.862
55.05,34.017
54.043,34.49
52.525,35.245
50.555,36.233
50.0,36.534

