#: table_doi: 10.17182/hepdata.91374.v1/t81
#: name: Figure 42ab
#: description: Observed and Expected upper cross-section limits for higgsino scenarios.
#: data_file: figure_42ab.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,11.51
100.0,20.0,6.1479
101.5,1.5,155.91
102.0,2.0,24.64
103.0,3.0,8.9767
105.0,5.0,3.261
110.0,10.0,1.8786
110.0,30.0,8.8722
115.0,15.0,3.3624
120.0,20.0,4.6967
120.0,60.0,9.6541
120.0,40.0,7.0781
126.5,1.5,171.28
127.0,2.0,27.262
128.0,3.0,8.5774
130.0,30.0,6.0854
130.0,5.0,2.9236
135.0,10.0,1.4044
140.0,40.0,5.3827
140.0,15.0,3.0615
140.0,60.0,12.03
145.0,20.0,4.0041
152.0,2.0,32.004
153.0,3.0,7.9398
155.0,30.0,5.1359
155.0,5.0,2.9454
160.0,60.0,6.6428
160.0,10.0,1.2578
165.0,40.0,3.9034
165.0,15.0,2.3094
170.0,20.0,3.4155
178.0,3.0,9.0553
180.0,30.0,3.2342
180.0,5.0,2.5145
185.0,10.0,1.1795
190.0,40.0,2.9506
190.0,15.0,2.0637
195.0,20.0,2.9839
202.0,2.0,52.724
203.0,3.0,7.7441
205.0,5.0,2.9172
210.0,10.0,1.0215
215.0,15.0,2.0098
220.0,20.0,2.7942
230.0,30.0,2.6783
230.0,5.0,2.7977
235.0,10.0,1.0504
240.0,40.0,2.3249
240.0,15.0,2.05
253.0,3.0,9.9971
255.0,5.0,2.7668
260.0,10.0,1.1094
265.0,15.0,1.8207
270.0,20.0,2.5266
280.0,30.0,2.3817
290.0,40.0,1.5898
81.5,1.5,146.77
82.0,2.0,23.39
83.0,3.0,11.313
85.0,5.0,4.0207
90.0,10.0,2.5413
95.0,15.0,4.1486

$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,10.637
100.0,20.0,3.3792
101.5,1.5,83.337
102.0,2.0,13.848
103.0,3.0,4.4072
105.0,5.0,2.4591
110.0,10.0,1.7938
110.0,30.0,5.1497
115.0,15.0,2.0192
120.0,20.0,2.3776
120.0,60.0,17.542
120.0,40.0,7.3274
126.5,1.5,104.19
127.0,2.0,14.947
128.0,3.0,4.2695
130.0,30.0,4.0188
130.0,5.0,2.0496
135.0,10.0,1.444
140.0,40.0,5.6641
140.0,15.0,1.6984
140.0,60.0,12.832
145.0,20.0,1.995
152.0,2.0,17.577
153.0,3.0,3.9663
155.0,30.0,3.2039
155.0,5.0,2.0142
160.0,60.0,10.28
160.0,10.0,1.2076
165.0,40.0,4.4312
165.0,15.0,1.3297
170.0,20.0,1.6652
178.0,3.0,5.1501
180.0,30.0,2.3803
180.0,5.0,1.8416
185.0,10.0,1.0889
190.0,40.0,3.7066
190.0,15.0,1.1864
195.0,20.0,1.4071
202.0,2.0,33.754
203.0,3.0,4.4824
205.0,5.0,2.0478
210.0,10.0,0.98395
215.0,15.0,1.1059
220.0,20.0,1.3299
230.0,30.0,1.927
230.0,5.0,1.9755
235.0,10.0,0.93062
240.0,40.0,2.6746
240.0,15.0,1.0414
253.0,3.0,5.7872
255.0,5.0,1.9362
260.0,10.0,0.97645
265.0,15.0,0.96317
270.0,20.0,1.1475
280.0,30.0,1.5852
290.0,40.0,2.2121
81.5,1.5,74.963
82.0,2.0,13.171
83.0,3.0,5.5442
85.0,5.0,3.2966
90.0,10.0,2.2845
95.0,15.0,2.5382

