#: table_doi: 10.17182/hepdata.91374.v1/t34
#: name: Figure 30b
#: description: Efficiency for the N2C1p higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.48578
100.0,20.0,0.43609
101.5,1.5,0.47477
102.0,2.0,0.45945
103.0,3.0,0.4729
105.0,5.0,0.47257
110.0,10.0,0.43153
110.0,30.0,0.40615
115.0,15.0,0.41506
120.0,20.0,0.43002
120.0,60.0,0.42944
120.0,40.0,0.43903
126.5,1.5,0.37647
127.0,2.0,0.45796
128.0,3.0,0.42765
130.0,30.0,0.40104
130.0,5.0,0.43614
135.0,10.0,0.41428
140.0,40.0,0.49757
140.0,15.0,0.42643
140.0,60.0,0.47798
145.0,20.0,0.41131
152.0,2.0,0.43815
153.0,3.0,0.48706
155.0,30.0,0.4437
155.0,5.0,0.45632
160.0,60.0,0.30594
160.0,10.0,0.43715
165.0,40.0,0.42775
165.0,15.0,0.41641
170.0,20.0,0.41575
178.0,3.0,0.4853
180.0,30.0,0.45292
180.0,5.0,0.46821
185.0,10.0,0.4058
190.0,40.0,0.4412
190.0,15.0,0.41449
195.0,20.0,0.44891
202.0,2.0,0.43429
203.0,3.0,0.47253
205.0,5.0,0.44578
210.0,10.0,0.42114
215.0,15.0,0.42432
220.0,20.0,0.41559
230.0,30.0,0.44808
230.0,5.0,0.47065
235.0,10.0,0.45531
240.0,40.0,0.43783
240.0,15.0,0.42232
252.0,2.0,0.48096
253.0,3.0,0.44245
255.0,5.0,0.44108
260.0,10.0,0.40799
265.0,15.0,0.41766
270.0,20.0,0.44777
280.0,30.0,0.42788
290.0,40.0,0.46113
81.5,1.5,0.54258
82.0,2.0,0.45043
83.0,3.0,0.47013
85.0,5.0,0.46545
90.0,10.0,0.43707
95.0,15.0,0.46086

