#: table_doi: 10.17182/hepdata.91374.v1/t3
#: name: Figure 14b Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct wino-bino production, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})<0$.
#: data_file: figure_14b_expected.yaml
#: keyword reactions: P P --> WINO BINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
90.0,1.3068
92.278,1.3357
92.374,1.3369
94.748,1.3687
96.519,1.3922
97.121,1.4006
99.495,1.4338
100.71,1.4511
101.87,1.4679
104.24,1.5031
104.87,1.5122
106.62,1.5392
108.97,1.5762
108.99,1.5762
111.36,1.6151
113.05,1.6425
113.74,1.6546
116.11,1.6955
117.07,1.712
118.48,1.7378
120.86,1.7816
121.02,1.7844
123.23,1.8268
124.9,1.8595
125.61,1.8741
127.98,1.9231
128.71,1.9382
130.35,1.9738
132.43,2.0198
132.73,2.0267
135.1,2.0816
136.1,2.1052
137.47,2.1389
139.69,2.1943
139.85,2.1984
142.22,2.2594
143.25,2.2867
144.6,2.3233
146.77,2.3834
146.97,2.3889
149.34,2.4564
150.29,2.4837
151.72,2.5258
153.81,2.5888
154.09,2.5972
156.46,2.6705
157.36,2.6984
158.84,2.7447
160.94,2.8119
161.21,2.821
163.59,2.8987
164.57,2.9309
165.96,2.9771
168.25,3.0549
168.33,3.0577
170.71,3.1391
172.0,3.1835
173.08,3.2218
175.45,3.306
175.8,3.3182
177.83,3.3916
179.66,3.4578
180.2,3.4786
182.58,3.5678
183.56,3.6041
184.95,3.6576
187.32,3.7497
187.49,3.7566
189.7,3.845
191.43,3.9147
192.07,3.9418
194.44,4.042
195.35,4.0804
196.82,4.1457
199.19,4.2521
199.2,4.2521
201.57,4.3642
203.0,4.432
203.94,4.4802
206.31,4.6004
206.68,4.6196
208.69,4.7282
210.25,4.8139
211.06,4.8618
213.43,5.0026
213.69,5.0176
215.81,5.1523
217.02,5.2288
218.18,5.3101
220.21,5.45
220.56,5.4752
222.93,5.6533
223.3,5.6807
225.3,5.8425
226.26,5.9197
227.68,6.0437
229.11,6.1702
230.05,6.2589
231.84,6.4313
232.42,6.4908
234.43,6.7019
234.8,6.7437
236.87,6.9855
237.17,7.0243
239.12,7.2795
239.55,7.3434
241.15,7.5875
241.92,7.7232
242.94,7.9086
244.29,8.2073
244.45,8.2414
245.65,8.5901
246.54,8.9516
246.67,9.0427
247.08,9.3304
247.27,9.7252
247.1,10.134
246.67,10.483
246.57,10.563
245.68,11.008
244.42,11.474
244.29,11.511
242.81,11.959
241.92,12.184
240.86,12.462
239.55,12.767
238.62,12.99
237.17,13.298
236.1,13.539
234.8,13.804
233.37,14.109
232.42,14.299
230.48,14.706
230.05,14.791
227.68,15.283
227.47,15.325
225.3,15.776
224.4,15.973
222.93,16.285
221.29,16.649
220.56,16.807
218.18,17.346
218.16,17.35
215.81,17.898
215.04,18.084
213.43,18.467
211.9,18.845
211.06,19.055
208.75,19.643
208.69,19.661
206.31,20.272
205.56,20.474
203.94,20.898
202.29,21.335
201.57,21.528
199.19,22.162
198.9,22.238
196.82,22.788
195.32,23.174
194.44,23.404
192.07,24.005
191.47,24.155
189.7,24.592
187.32,25.154
187.24,25.177
184.95,25.698
182.58,26.212
182.47,26.236
180.2,26.712
177.83,27.189
177.01,27.346
175.45,27.644
173.08,28.087
170.81,28.504
170.71,28.517
168.33,28.947
165.96,29.363
164.04,29.703
163.59,29.785
161.21,30.213
158.84,30.641
157.13,30.96
156.46,31.081
154.09,31.535
151.72,32.004
150.43,32.263
149.34,32.486
146.97,32.991
144.6,33.512
144.08,33.628
142.22,34.056
139.85,34.618
138.06,35.051
137.47,35.188
135.1,35.793
132.73,36.408
132.29,36.526
130.35,37.051
127.98,37.705
126.66,38.072
125.61,38.371
123.23,39.048
121.05,39.673
120.86,39.728
118.48,40.439
116.11,41.124
115.34,41.352
113.74,41.831
111.36,42.521
109.33,43.102
108.99,43.202
106.62,43.873
104.24,44.514
102.66,44.916
101.87,45.123
99.495,45.709
97.121,46.249
94.748,46.73
94.248,46.817
92.374,47.152
90.0,47.512

