#: table_doi: 10.17182/hepdata.91374.v1/t38
#: name: Figure 30f
#: description: Efficiency for the N2C1p higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.24999
100.0,20.0,0.35502
101.5,1.5,0.10914
102.0,2.0,0.41881
103.0,3.0,0.45642
105.0,5.0,0.43283
110.0,10.0,0.36197
110.0,30.0,0.3862
115.0,15.0,0.31139
120.0,20.0,0.38861
120.0,60.0,0.0
120.0,40.0,0.37438
126.5,1.5,0.21134
127.0,2.0,0.49369
128.0,3.0,0.45009
130.0,30.0,0.30441
130.0,5.0,0.41378
135.0,10.0,0.34939
140.0,40.0,0.37395
140.0,15.0,0.40323
140.0,60.0,0.71665
145.0,20.0,0.38636
152.0,2.0,0.44409
153.0,3.0,0.47193
155.0,30.0,0.27008
155.0,5.0,0.42971
160.0,60.0,1.0713
160.0,10.0,0.38899
165.0,40.0,0.44554
165.0,15.0,0.36328
170.0,20.0,0.33217
178.0,3.0,0.55224
180.0,30.0,0.29819
180.0,5.0,0.44823
185.0,10.0,0.41084
190.0,40.0,0.24335
190.0,15.0,0.28953
195.0,20.0,0.29171
202.0,2.0,0.59969
203.0,3.0,0.55593
205.0,5.0,0.43028
210.0,10.0,0.39095
215.0,15.0,0.35196
220.0,20.0,0.33923
230.0,30.0,0.31109
230.0,5.0,0.47434
235.0,10.0,0.36898
240.0,40.0,0.38797
240.0,15.0,0.36554
252.0,2.0,0.45616
253.0,3.0,0.40841
255.0,5.0,0.48632
260.0,10.0,0.40629
265.0,15.0,0.39823
270.0,20.0,0.29775
280.0,30.0,0.38916
290.0,40.0,0.54359
81.5,1.5,0.3243
82.0,2.0,0.46668
83.0,3.0,0.43532
85.0,5.0,0.44929
90.0,10.0,0.4106
95.0,15.0,0.40163

