#: table_doi: 10.17182/hepdata.91374.v1/t33
#: name: Figure 30a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.16547
100.0,20.0,0.74703
101.5,1.5,0.0081283
102.0,2.0,0.083968
103.0,3.0,0.33343
105.0,5.0,0.74546
110.0,10.0,1.4754
110.0,30.0,0.47576
115.0,15.0,1.323
120.0,20.0,1.1597
120.0,60.0,0.14411
120.0,40.0,0.33932
126.5,1.5,0.0094123
127.0,2.0,0.07609
128.0,3.0,0.32147
130.0,30.0,0.71224
130.0,5.0,0.93666
135.0,10.0,1.8443
140.0,40.0,0.48881
140.0,15.0,1.7105
140.0,60.0,0.24721
145.0,20.0,1.7638
152.0,2.0,0.060613
153.0,3.0,0.32743
155.0,30.0,1.0454
155.0,5.0,1.0787
160.0,60.0,0.3772
160.0,10.0,2.4216
165.0,40.0,0.76004
165.0,15.0,2.3873
170.0,20.0,2.174
178.0,3.0,0.29057
180.0,30.0,1.614
180.0,5.0,1.1765
185.0,10.0,2.6652
190.0,40.0,0.95569
190.0,15.0,3.2834
195.0,20.0,2.7404
202.0,2.0,0.045258
203.0,3.0,0.36068
205.0,5.0,1.0407
210.0,10.0,3.3067
215.0,15.0,3.4208
220.0,20.0,2.9942
230.0,30.0,2.1625
230.0,5.0,1.1489
235.0,10.0,3.2053
240.0,40.0,1.4213
240.0,15.0,3.6823
252.0,2.0,0.031719
253.0,3.0,0.28597
255.0,5.0,1.2112
260.0,10.0,3.5514
265.0,15.0,4.0383
270.0,20.0,3.2408
280.0,30.0,2.5
290.0,40.0,1.7218
81.5,1.5,0.011464
82.0,2.0,0.080673
83.0,3.0,0.27708
85.0,5.0,0.51225
90.0,10.0,0.96218
95.0,15.0,0.85909

