#: table_doi: 10.17182/hepdata.91374.v1/t25
#: name: Figure 29a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.38726
100.0,20.0,1.0061
101.5,1.5,0.011944
102.0,2.0,0.063277
103.0,3.0,0.29248
105.0,5.0,0.7623
110.0,10.0,1.5291
110.0,30.0,0.77155
115.0,15.0,1.6606
120.0,20.0,1.4221
120.0,60.0,0.31546
120.0,40.0,0.61547
126.5,1.5,0.0085171
127.0,2.0,0.057809
128.0,3.0,0.34351
130.0,30.0,1.0306
130.0,5.0,0.94556
135.0,10.0,2.0898
140.0,40.0,0.84162
140.0,15.0,2.2907
140.0,60.0,0.46187
145.0,20.0,1.9677
152.0,2.0,0.052722
153.0,3.0,0.40637
155.0,30.0,1.4372
155.0,5.0,0.97191
160.0,60.0,0.62836
160.0,10.0,2.5213
165.0,40.0,1.0993
165.0,15.0,2.6573
170.0,20.0,2.5113
178.0,3.0,0.33073
180.0,30.0,1.7728
180.0,5.0,1.2462
185.0,10.0,3.0641
190.0,40.0,1.3722
190.0,15.0,3.0797
195.0,20.0,2.9479
202.0,2.0,0.038174
203.0,3.0,0.35623
205.0,5.0,1.1294
210.0,10.0,3.2697
215.0,15.0,3.5823
220.0,20.0,3.3077
230.0,30.0,2.4501
230.0,5.0,1.1229
235.0,10.0,3.4898
240.0,40.0,1.9783
240.0,15.0,3.6594
252.0,2.0,0.028673
253.0,3.0,0.25412
255.0,5.0,1.1491
260.0,10.0,3.6163
265.0,15.0,4.2601
270.0,20.0,3.9041
280.0,30.0,2.9899
290.0,40.0,2.3769
81.5,1.5,0.010398
82.0,2.0,0.072695
83.0,3.0,0.20832
85.0,5.0,0.54399
90.0,10.0,1.0998
95.0,15.0,1.1128

