#: table_doi: 10.17182/hepdata.91374.v1/t56
#: name: Figure 33b
#: description: Efficiency for the C1C1 VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_33b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.33298
40.0,3.0,0.36655
40.0,5.0,0.55538
40.0,10.0,0.50533
40.0,20.0,0.45885
40.0,40.0,0.50967
60.0,2.0,0.76061
60.0,3.0,0.43995
60.0,5.0,0.44287
60.0,10.0,0.4598
60.0,20.0,0.53088
60.0,40.0,0.54247
80.0,2.0,0.37362
80.0,3.0,0.53722
80.0,5.0,0.4065
80.0,10.0,0.50832
80.0,20.0,0.45932
80.0,40.0,0.42706
120.0,2.0,0.32618
120.0,3.0,0.35577
120.0,5.0,0.36541
120.0,10.0,0.45378
120.0,20.0,0.46806
120.0,40.0,0.4111
100.0,2.0,0.10601
100.0,3.0,0.17741
100.0,5.0,0.44462

