#: table_doi: 10.17182/hepdata.91374.v1/t71
#: name: Figure 35e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.44637
40.0,3.0,1.8183
40.0,5.0,2.6672
40.0,10.0,1.8367
40.0,20.0,0.68794
40.0,40.0,0.094226
60.0,2.0,1.3568
60.0,3.0,4.0814
60.0,5.0,7.2074
60.0,10.0,8.1584
60.0,20.0,3.701
60.0,40.0,1.0223
80.0,2.0,1.14
80.0,3.0,4.2811
80.0,5.0,9.0176
80.0,10.0,11.73
80.0,20.0,8.2055
80.0,40.0,2.9046
120.0,2.0,0.70764
120.0,3.0,3.7733
120.0,5.0,9.6358
120.0,10.0,16.552
120.0,20.0,13.646
120.0,40.0,7.0962
100.0,2.0,0.85799
100.0,3.0,3.9121
100.0,5.0,9.6596

