#: table_doi: 10.17182/hepdata.91374.v1/t40
#: name: Figure 30h
#: description: Efficiency for the N2C1p higgsino process in the SR-E-1l1T region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30h.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
81.0,1.0,0.0067007
81.5,1.5,0.039254
82.0,2.0,0.075507
83.0,3.0,0.085677
85.0,5.0,0.11805
101.0,1.0,0.006447
101.5,1.5,0.028702
102.0,2.0,0.056686
103.0,3.0,0.095458
105.0,5.0,0.15237
126.0,1.0,0.0
126.5,1.5,0.035227
127.0,2.0,0.061912
128.0,3.0,0.071239
130.0,5.0,0.15197
152.0,2.0,0.057981
155.0,5.0,0.10618
153.0,3.0,0.096722

