#: table_doi: 10.17182/hepdata.91374.v1/t21
#: name: Figure 28c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the C1C1 higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.26596
100.0,20.0,0.12475
101.5,1.5,0.0
102.0,2.0,0.0
103.0,3.0,0.00017266
105.0,5.0,0.0012432
110.0,10.0,0.010897
110.0,30.0,0.36033
115.0,15.0,0.047701
120.0,20.0,0.10791
120.0,60.0,0.38282
120.0,40.0,0.37416
126.5,1.5,0.0
127.0,2.0,0.0
128.0,3.0,0.0
130.0,30.0,0.35569
130.0,5.0,0.0010479
135.0,10.0,0.0089824
140.0,40.0,0.4425
140.0,15.0,0.035941
140.0,60.0,0.50762
145.0,20.0,0.1101
152.0,2.0,0.0
153.0,3.0,0.0
155.0,30.0,0.30885
155.0,5.0,0.00037658
160.0,60.0,0.53518
160.0,10.0,0.0067335
165.0,40.0,0.45741
165.0,15.0,0.031625
170.0,20.0,0.096889
178.0,3.0,0.0
180.0,30.0,0.30356
180.0,5.0,0.00079142
185.0,10.0,0.011041
190.0,40.0,0.5464
190.0,15.0,0.037824
195.0,20.0,0.097956
202.0,2.0,0.0
203.0,3.0,0.0
205.0,5.0,0.0
210.0,10.0,0.0044744
215.0,15.0,0.038165
220.0,20.0,0.091321
230.0,30.0,0.33441
230.0,5.0,0.0
235.0,10.0,0.0018489
240.0,40.0,0.69738
240.0,15.0,0.0097109
252.0,2.0,0.0
253.0,3.0,0.0
255.0,5.0,0.0
260.0,10.0,0.0038883
265.0,15.0,0.025299
270.0,20.0,0.063337
280.0,30.0,0.31873
290.0,40.0,0.53715
81.5,1.5,0.0
82.0,2.0,5.1888e-05
83.0,3.0,0.0
85.0,5.0,0.0016005
90.0,10.0,0.016034
95.0,15.0,0.051944

