#: table_doi: 10.17182/hepdata.91374.v1/t85
#: name: Figure 44ef
#: description: Observed and Expected upper cross-section limits for direct RH slepton scenarios.
#: data_file: figure_44ef.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,1.1125
100.0,30.0,0.91736
100.0,20.0,0.31702
100.0,10.0,0.096093
100.0,5.0,0.088909
100.0,2.0,0.23544
100.0,1.0,0.27119
100.0,0.7,1.2917
100.0,0.5,6.7755
125.0,20.0,0.20407
125.0,10.0,0.066649
125.0,5.0,0.07653
125.0,2.0,0.16898
125.0,1.0,0.24862
125.0,0.7,1.7566
125.0,30.0,0.49291
150.0,40.0,0.54094
150.0,30.0,0.33335
150.0,25.7,0.19177
150.0,20.0,0.12872
150.0,10.0,0.046924
150.0,5.0,0.049686
150.0,2.0,0.11925
150.0,1.0,0.43448
175.0,40.0,0.26857
175.0,30.0,0.28696
175.0,20.0,0.081019
175.0,10.0,0.032729
175.0,5.0,0.050108
175.0,2.0,0.082014
175.0,1.0,0.34798
200.0,40.0,0.14777
200.0,30.0,0.14549
200.0,20.0,0.076969
200.0,10.0,0.036977
200.0,5.0,0.03845
200.0,2.0,0.080005
200.0,1.0,0.52388
225.0,40.0,0.30174
225.0,30.0,0.18891
225.0,20.0,0.076927
225.0,10.0,0.030616
225.0,5.0,0.03572
225.0,2.0,0.054356
225.0,1.0,0.58344
250.0,20.0,0.06139
250.0,10.0,0.022353
250.0,5.0,0.035771
250.0,2.0,0.041309
250.0,1.0,0.64527
300.0,10.0,0.022783
300.0,5.0,0.032664
300.0,2.0,0.05422
50.0,5.0,0.51236
50.0,2.0,1.0589
50.0,1.0,2.4203
50.0,0.7,3.3972
50.0,0.5,3.7149
50.0,0.3,48.179
60.0,5.0,0.28643
60.0,2.0,0.70342
60.0,1.0,1.4226
60.0,0.7,1.537
60.0,0.5,3.1149
60.0,0.3,55.93
70.0,5.0,0.18525
70.0,2.0,0.56561
70.0,1.0,0.71981
70.0,0.7,1.0519
70.0,0.5,4.3259
90.0,40.0,2.4991
90.0,20.0,0.35647

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,1.1001
100.0,30.0,0.66111
100.0,20.0,0.32634
100.0,10.0,0.12159
100.0,5.0,0.10447
100.0,2.0,0.20228
100.0,1.0,0.45372
100.0,0.7,1.8999
100.0,0.5,8.6515
125.0,20.0,0.19429
125.0,10.0,0.080514
125.0,5.0,0.080253
125.0,2.0,0.16851
125.0,1.0,0.43105
125.0,0.7,2.7159
125.0,30.0,0.44675
150.0,40.0,0.45064
150.0,30.0,0.27786
150.0,25.7,0.16824
150.0,20.0,0.13938
150.0,10.0,0.056754
150.0,5.0,0.049744
150.0,2.0,0.125
150.0,1.0,0.69832
175.0,40.0,0.33211
175.0,30.0,0.20634
175.0,20.0,0.087411
175.0,10.0,0.039918
175.0,5.0,0.049418
175.0,2.0,0.10192
175.0,1.0,0.52537
200.0,40.0,0.16685
200.0,30.0,0.11582
200.0,20.0,0.078244
200.0,10.0,0.039041
200.0,5.0,0.03891
200.0,2.0,0.11245
200.0,1.0,0.73247
225.0,40.0,0.24493
225.0,30.0,0.134
225.0,20.0,0.068113
225.0,10.0,0.035231
225.0,5.0,0.039908
225.0,2.0,0.086282
225.0,1.0,0.8024
250.0,20.0,0.060365
250.0,10.0,0.02724
250.0,5.0,0.03214
250.0,2.0,0.070837
250.0,1.0,0.52801
300.0,10.0,0.026885
300.0,5.0,0.028477
300.0,2.0,0.080044
50.0,5.0,0.69203
50.0,2.0,1.0649
50.0,1.0,2.0225
50.0,0.7,4.3108
50.0,0.5,6.2331
50.0,0.3,62.464
60.0,5.0,0.35486
60.0,2.0,0.62855
60.0,1.0,1.4157
60.0,0.7,2.4467
60.0,0.5,5.3635
60.0,0.3,71.212
70.0,5.0,0.2386
70.0,2.0,0.44152
70.0,1.0,0.88079
70.0,0.7,1.7785
70.0,0.5,7.377
90.0,40.0,1.3284
90.0,20.0,0.39233

