#: table_doi: 10.17182/hepdata.91374.v1/t8
#: name: Figure 15b Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct wino-bino production.
#: data_file: figure_15b_observed.yaml
#: keyword reactions: P P --> WINO BINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
65.813,1.9999
65.859,2.0045
66.426,2.0616
66.667,2.0864
67.035,2.1247
67.475,2.1722
67.636,2.1903
68.229,2.2574
68.283,2.2636
68.812,2.3265
69.091,2.3616
69.381,2.3983
69.899,2.4672
69.933,2.4717
70.47,2.548
70.707,2.5834
70.988,2.626
71.484,2.7064
71.515,2.7121
71.961,2.79
72.323,2.8582
72.413,2.8754
72.842,2.9641
73.131,3.029
73.245,3.0549
73.625,3.1492
73.939,3.2359
73.975,3.2456
74.303,3.345
74.602,3.4483
74.748,3.5043
74.875,3.5539
75.123,3.6635
75.342,3.7757
75.535,3.8913
75.556,3.9066
75.705,4.0114
75.85,4.1343
75.97,4.2619
76.067,4.3924
76.14,4.5279
76.191,4.6666
76.222,4.8095
76.233,4.9579
76.225,5.1098
76.2,5.2674
76.157,5.4288
76.1,5.595
76.027,5.7677
75.941,5.9443
75.842,6.1277
75.73,6.3154
75.608,6.5103
75.556,6.5872
75.477,6.7097
75.339,6.9151
75.193,7.1285
75.038,7.3468
74.877,7.5736
74.748,7.7518
74.71,7.8055
74.541,8.0445
74.367,8.2928
74.188,8.5467
74.005,8.8105
73.939,8.9043
73.822,9.0803
73.637,9.3605
73.449,9.6472
73.258,9.9426
73.131,10.144
73.067,10.249
72.876,10.563
72.683,10.889
72.489,11.223
72.323,11.513
72.293,11.566
72.098,11.923
71.901,12.289
71.702,12.668
71.515,13.029
71.501,13.056
71.3,13.459
71.097,13.871
70.89,14.296
70.707,14.679
70.681,14.737
70.469,15.188
70.254,15.657
70.034,16.136
69.899,16.432
69.81,16.634
69.581,17.143
69.346,17.669
69.104,18.214
69.091,18.243
68.857,18.771
68.602,19.351
68.338,19.943
68.283,20.068
68.067,20.554
67.786,21.189
67.494,21.837
67.475,21.883
67.193,22.511
66.879,23.201
66.667,23.665
66.554,23.917
66.216,24.649
65.864,25.404
65.859,25.416
65.498,26.188
65.116,26.99
65.05,27.127
64.719,27.823
64.305,28.675
64.242,28.8
63.872,29.553
63.434,30.437
63.422,30.465
62.951,31.398
62.626,32.041
62.459,32.367
61.946,33.358
61.818,33.605
61.409,34.388
61.01,35.14
60.849,35.441
60.262,36.526
60.202,36.644
59.647,37.653
59.394,38.107
59.003,38.806
58.586,39.546
58.327,40.004

