#: table_doi: 10.17182/hepdata.91374.v1/t29
#: name: Figure 29e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.030679
100.0,20.0,0.25068
101.5,1.5,0.0022839
102.0,2.0,0.021217
103.0,3.0,0.16009
105.0,5.0,0.56695
110.0,10.0,0.88781
110.0,30.0,0.095763
115.0,15.0,0.62948
120.0,20.0,0.35274
120.0,60.0,0.014584
120.0,40.0,0.049282
126.5,1.5,0.0025877
127.0,2.0,0.017614
128.0,3.0,0.15261
130.0,30.0,0.11107
130.0,5.0,0.61501
135.0,10.0,1.0828
140.0,40.0,0.041518
140.0,15.0,0.74184
140.0,60.0,0.019264
145.0,20.0,0.40659
152.0,2.0,0.01807
153.0,3.0,0.15818
155.0,30.0,0.14139
155.0,5.0,0.60181
160.0,60.0,0.017635
160.0,10.0,1.2111
165.0,40.0,0.052641
165.0,15.0,0.84173
170.0,20.0,0.46078
178.0,3.0,0.106
180.0,30.0,0.14949
180.0,5.0,0.54409
185.0,10.0,1.441
190.0,40.0,0.056764
190.0,15.0,0.95235
195.0,20.0,0.66068
202.0,2.0,0.0097124
203.0,3.0,0.13039
205.0,5.0,0.53321
210.0,10.0,1.4968
215.0,15.0,1.0282
220.0,20.0,0.58795
230.0,30.0,0.19274
230.0,5.0,0.52085
235.0,10.0,1.4735
240.0,40.0,0.051874
240.0,15.0,1.0044
252.0,2.0,0.0082544
253.0,3.0,0.078633
255.0,5.0,0.53283
260.0,10.0,1.3656
265.0,15.0,1.2807
270.0,20.0,0.6297
280.0,30.0,0.19741
290.0,40.0,0.061021
81.5,1.5,0.0016395
82.0,2.0,0.030426
83.0,3.0,0.16091
85.0,5.0,0.53507
90.0,10.0,0.67055
95.0,15.0,0.46545

