#: table_doi: 10.17182/hepdata.91374.v1/t68
#: name: Figure 35b
#: description: Efficiency for the N2C1p VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.37655
40.0,3.0,0.26897
40.0,5.0,0.3744
40.0,10.0,0.3264
40.0,20.0,0.46683
40.0,40.0,0.68962
60.0,2.0,0.42527
60.0,3.0,0.53215
60.0,5.0,0.45335
60.0,10.0,0.40516
60.0,20.0,0.46577
60.0,40.0,0.42073
80.0,2.0,0.46932
80.0,3.0,0.51467
80.0,5.0,0.51036
80.0,10.0,0.43185
80.0,20.0,0.39453
80.0,40.0,0.54522
120.0,2.0,0.38258
120.0,3.0,0.54341
120.0,5.0,0.53391
120.0,10.0,0.40223
120.0,20.0,0.41396
120.0,40.0,0.47672
100.0,2.0,0.48682
100.0,3.0,0.51977
100.0,5.0,0.48342

