#: table_doi: 10.17182/hepdata.83419.v1/t13
#: name: Expected upper limit 3
#: description: Expected exclusion limits at 95% CL on the masses of C1/N2 and N1 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the statistical combination of the $2\ell$ and 3$\ell$ search channels, assuming 100\% branching ratio of the sparticles to decay to SM $W/Z$ bosons and LSP.
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword cmenergies: 13000.0
'M(NLSP) [GeV]','M(LSP) [GeV]'
561.772,185.0
572.5,177.378
575.758,175.0
587.5,166.222
588.799,165.0
599.426,155.0
601.134,145.0
597.58,135.0
593.594,125.0
589.609,115.0
587.5,109.71
585.642,105.0
585.72,95.0
587.5,90.66
589.804,85.0
593.874,75.0
597.945,65.0
601.997,55.0
602.152,45.0
599.099,35.0
595.996,25.0
592.893,15.0
589.79,5.0
132.896,5.0
135.844,15.0
136.04,25.0
136.004,35.0
135.891,45.0
137.5,47.449
142.395,55.0
152.5,62.728
155.906,65.0
167.5,74.935
167.637,75.0
179.836,85.0
182.5,87.17
194.24,95.0
197.5,97.816
212.5,103.211
227.5,99.299
242.5,95.387
257.5,97.254
272.5,104.901
272.695,105.0
285.611,115.0
287.5,115.743
302.5,118.719
307.407,125.0
315.219,135.0
317.5,137.919
323.032,145.0
331.528,155.0
332.5,156.059
344.579,165.0
347.5,166.523
361.135,175.0
362.5,175.849
376.545,185.0
377.5,185.622
391.893,195.0
392.5,195.61
407.5,203.968
411.263,205.0
422.5,208.976
437.5,214.283
439.526,215.0
452.5,219.59
467.5,224.898
467.978,225.0
482.5,227.436
497.5,228.318
512.5,229.338
527.5,229.429
533.437,225.0
538.493,215.0
542.5,207.076
543.979,205.0
551.702,195.0
557.5,188.035

