#: table_doi: 10.17182/hepdata.81626.v1/t11
#: name: Exclusion contour (expected) 3
#: description: Expected exclusion limit in the squark-bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{S-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 900$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{S-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}} <  900$ GeV.
#: data_file: data11.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GeV],13000.0
#M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1823.75,1817.54
1856.25,1810.83
1880.74,1804.0
1878.09,1752.0
1876.64,1700.0
1871.32,1648.0
1867.26,1596.0
1863.19,1544.0
1862.37,1492.0
1861.78,1440.0
1860.86,1388.0
1859.94,1336.0
1858.82,1284.0
1856.25,1253.27
1854.22,1232.0
1849.26,1180.0
1844.54,1128.0
1840.16,1076.0
1835.88,1024.0
1831.73,972.0
1827.63,920.0
1823.75,870.738
1823.55,868.0
1819.42,816.0
1815.14,764.0
1813.8,712.0
1812.78,660.0
1811.76,608.0
1810.74,556.0
1809.53,504.0
1809.5,452.0
1809.81,400.0
1810.12,348.0
1810.43,296.0
1810.74,244.0
1818.25,192.0
1823.75,174.838
1835.97,140.0
1854.9,88.0
1856.25,83.2727
1869.5,36.0
