#: table_doi: 10.17182/hepdata.81626.v1/t12
#: name: Exclusion contour (observed) 4
#: description: Observed exclusion limit in the squark--bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{S-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 900$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{S-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}} <  900$ GeV.
#: data_file: data12.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GeV],13000.0
#M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1888.75,1857.04
1892.48,1856.0
1888.75,1818.94
1887.43,1804.0
1885.55,1752.0
1885.51,1700.0
1880.0,1648.0
1875.41,1596.0
1870.82,1544.0
1869.46,1492.0
1869.09,1440.0
1868.58,1388.0
1868.07,1336.0
1867.4,1284.0
1864.08,1232.0
1859.4,1180.0
1856.25,1144.84
1854.73,1128.0
1850.22,1076.0
1845.71,1024.0
1841.18,972.0
1836.64,920.0
1832.45,868.0
1827.54,816.0
1824.27,764.0
1823.75,750.052
1822.54,712.0
1821.28,660.0
1820.02,608.0
1818.76,556.0
1817.91,504.0
1818.52,452.0
1819.09,400.0
1819.65,348.0
1820.21,296.0
1820.77,244.0
1823.75,224.183
1830.03,192.0
1847.43,140.0
1856.25,115.469
1865.97,88.0
1879.38,36.0
