#: table_doi: 10.17182/hepdata.79304.v4/t29
#: name: Table 29
#: description: $\textbf{Exclusion contour 5 (obs.) } -$ Observed 95% excluded regions in the plane of m(STOP) versus m(NEUTRALINO) for direct stop pair production assuming b C1 decay with a branching ratio of 100%. The chargino mass is assumed to be close to the stop mass, m(C1) = m(STOP) - 10 GeV.

#: data_file: cont_bveto-obs.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(NEUTRALINO) [GeV]
812.53,298.55
819.12,255.65
821.07,212.75
828.82,169.85
830.0,163.22
838.1,126.95
841.9,84.05
844.48,41.15
309.42,84.05
310.0,84.93
353.84,126.95
362.0,134.17
403.61,169.85
414.0,183.97
427.17,212.75
459.75,255.65
466.0,259.1
518.0,277.65
555.43,298.55
570.0,319.9
622.0,334.17
647.52,341.45
674.0,350.35
726.0,362.45
778.0,359.44
794.49,341.45
812.53,298.55

