#: table_doi: 10.17182/hepdata.79304.v4/t19
#: name: Table 19
#: description: $\textbf{Exclusion contour 2 (exp.) } -$ Expected 95% excluded regions in the plane of m(STOP) versus m(STOP)-m(NEUTRALINO) for the direct stop pair production assuming either stop -> t N1, stop -> b W C1 or stop -> b f f' N1 decay with a branching ratio of 100%.

#: data_file: cont_full-exp.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(STOP) - M(NEUTRALINO) [GeV]
481.49,207.7
482.47,205.98
483.16,204.78
484.83,201.84
486.13,199.62
486.54,198.91
488.3,195.98
489.77,193.53
490.06,193.05
491.75,190.13
492.19,187.19
493.42,185.35
494.45,184.26
497.07,182.49
498.99,181.34
500.72,180.29
504.38,179.24
507.25,178.41
508.02,178.18
511.67,176.83
514.13,175.47
514.4,172.54
511.67,172.17
508.02,171.76
504.38,171.42
500.72,171.22
497.07,170.71
493.42,170.12
490.36,169.61
489.77,169.52
486.13,168.94
482.47,168.38
478.82,167.85
475.17,167.34
471.52,166.85
470.24,166.69
467.88,166.18
464.22,165.39
460.57,164.6
456.92,163.82
456.63,163.75
455.18,160.82
453.73,157.9
453.27,156.97
452.29,154.97
450.84,152.03
449.63,149.68
449.16,149.1
447.31,146.17
445.97,144.08
445.44,143.25
443.57,140.31
442.32,138.36
441.7,137.38
439.83,134.46
438.67,132.64
437.97,131.53
436.1,128.59
435.02,126.91
434.23,125.66
432.36,122.73
431.38,121.5
430.03,119.81
427.72,119.04
424.07,117.82
421.25,116.88
420.42,116.6
416.77,115.38
413.13,114.16
412.47,113.94
409.47,112.95
405.82,111.76
403.56,111.02
402.17,110.56
398.52,108.75
397.64,108.09
394.88,106.02
393.71,105.16
391.22,103.3
389.78,102.22
387.57,100.58
385.55,99.29
383.93,98.82
380.27,98.74
376.62,98.65
372.97,98.57
369.32,98.49
365.68,98.4
362.02,98.32
358.37,98.24
354.72,98.15
351.07,98.07
347.43,96.89
346.25,96.37
343.77,95.26
340.12,93.66
339.61,93.44
336.47,92.09
332.82,90.51
332.8,90.5
332.82,90.49
336.47,88.61
338.47,87.57
340.12,86.99
343.77,85.7
346.74,84.65
347.43,84.4
351.07,83.47
354.72,83.4
358.37,83.34
362.02,82.84
365.68,81.8
365.88,81.72
365.68,81.16
364.8,78.78
362.49,75.85
362.02,75.27
359.85,72.93
358.37,71.72
356.23,70.0
354.72,68.79
352.58,67.06
351.07,65.85
348.72,64.13
347.43,63.19
344.59,61.2
343.77,60.64
340.39,58.27
340.12,58.1
336.47,56.18
334.29,55.34
332.82,54.79
329.18,53.41
326.56,52.41
325.52,51.85
321.87,49.86
321.18,49.48
321.87,49.12
325.52,47.23
326.83,46.55
329.18,45.34
332.47,43.62
332.82,43.44
336.31,40.69
336.47,39.93
336.84,37.77
337.33,34.83
337.83,31.9
338.32,28.97
338.82,26.04
339.31,23.11
339.81,20.18
336.47,19.9
332.82,19.58
329.18,19.26
325.52,18.94
321.87,18.63
318.22,18.31
314.57,17.99
310.93,17.71
307.27,17.45
304.4,17.25
303.62,17.21
299.97,16.98
296.32,16.51
292.68,16.04
289.02,15.58
285.37,15.11
281.72,14.64
279.25,14.32
278.07,14.18
274.43,13.75
270.77,13.37
267.12,13.04
263.47,12.71
259.82,12.38
256.18,12.05
252.52,11.72
248.88,12.66
246.13,14.32
245.22,15.28
241.57,15.65
237.92,16.01
234.27,16.38
230.63,17.11
230.45,17.25
226.97,19.49
223.32,19.56
222.54,20.18
219.67,22.1
216.02,22.14
214.82,23.11
212.38,24.79
210.81,26.04
208.72,27.5
205.07,27.53
203.27,28.97
201.42,30.29
197.77,30.31
195.79,31.9
194.13,33.11
190.47,33.12
188.33,34.83
188.33,37.77
186.82,38.97
184.68,40.69
184.68,43.62
184.68,46.55
184.71,49.48
184.73,52.41
184.75,55.34
184.78,58.27
184.8,61.2
184.83,64.13
184.86,67.06
184.89,70.0
184.92,72.93
184.95,75.85
184.98,78.78
185.01,81.72
185.04,84.65
184.99,87.57
186.82,89.04
188.64,90.5
188.67,93.44
188.7,96.37
188.74,99.29
188.77,102.22
188.81,105.16
188.85,108.09
188.89,111.02
188.94,113.94
188.98,116.88
189.03,119.81
189.08,122.73
189.13,125.66
189.18,128.59
189.24,131.53
189.29,134.46
189.36,137.38
189.42,140.31
189.49,143.25
189.56,146.17
189.64,149.1
189.71,152.03
189.8,154.97
189.89,157.9
189.98,160.82
190.08,163.75
190.23,166.69
189.81,169.61
189.43,172.54
190.47,173.38
192.95,175.47
192.9,178.41
193.02,181.34
193.23,184.26
193.48,187.19
193.78,190.13
194.13,190.4
196.96,193.05
197.22,195.98

