#: table_doi: 10.17182/hepdata.79304.v4/t20
#: name: Table 20
#: description: $\textbf{Exclusion contour 2 (obs.) } -$ Observed 95% excluded regions in the plane of m(STOP) versus m(STOP)-m(NEUTRALINO) for the direct stop pair production assuming either stop -> t N1, stop -> b W C1 or stop -> b f f' N1 decay with a branching ratio of 100%.

#: data_file: cont_full-obs.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(STOP) - M(NEUTRALINO) [GeV]
482.47,209.48
483.58,207.7
485.4,204.78
486.13,203.6
487.22,201.84
489.02,198.91
489.77,197.65
490.78,195.98
492.55,193.05
493.42,191.6
494.31,190.13
495.19,187.19
497.07,185.59
499.61,184.26
500.72,183.69
504.38,182.77
508.02,181.85
510.06,181.34
511.67,180.93
515.33,180.0
518.98,178.97
520.35,178.41
522.63,176.69
524.24,175.47
525.28,172.54
522.63,172.01
518.98,171.43
515.33,171.1
511.67,170.86
508.02,170.69
504.38,170.56
500.72,170.5
497.07,170.12
493.42,169.63
493.28,169.61
489.77,169.15
486.13,168.68
482.47,168.21
478.82,167.76
475.17,167.31
471.52,166.87
470.01,166.69
467.88,166.2
464.22,165.37
460.57,164.55
457.07,163.75
459.86,160.82
460.57,160.07
462.64,157.9
464.22,156.23
465.27,154.97
464.73,152.03
464.22,150.16
463.94,149.1
463.73,146.17
463.47,143.25
461.91,140.31
460.57,138.88
459.18,137.38
456.92,134.96
456.46,134.46
453.73,131.53
453.27,131.03
450.95,128.59
449.63,127.2
447.78,125.66
445.97,124.16
444.26,122.73
442.32,121.14
440.7,119.81
438.67,118.39
436.51,116.88
435.02,115.84
432.31,113.94
431.38,113.29
428.12,111.02
427.72,110.74
424.07,108.19
423.92,108.09
420.42,106.4
416.77,105.4
415.83,105.16
413.13,104.45
409.47,103.5
405.82,102.55
404.57,102.22
402.17,101.6
398.52,99.83
397.87,99.29
394.88,96.85
394.28,96.37
391.22,95.19
387.57,95.12
383.93,95.47
380.27,95.81
376.62,96.16
374.51,96.37
372.97,96.51
369.32,96.86
365.68,97.21
362.02,97.56
358.37,97.91
354.72,98.25
351.07,98.6
347.43,97.4
345.38,96.37
343.77,95.56
340.12,93.8
339.32,93.44
336.47,92.13
332.93,90.5
336.47,89.0
339.82,87.57
340.12,87.48
343.77,86.37
347.43,85.27
350.59,84.65
351.07,84.55
352.66,84.65
354.72,84.77
358.37,84.99
362.02,85.21
365.68,85.43
369.32,85.65
372.97,85.87
376.62,85.59
380.27,84.92
381.11,84.65
380.27,83.22
379.39,81.72
376.62,79.78
375.19,78.78
372.97,77.94
369.32,76.56
367.47,75.85
365.68,75.17
362.02,73.79
358.83,72.93
358.37,72.82
354.72,72.02
351.07,71.21
347.43,70.41
345.57,70.0
343.77,69.6
340.12,68.79
336.47,67.98
332.82,67.17
332.35,67.06
329.18,66.36
325.52,65.59
321.87,65.02
318.22,64.58
314.57,64.15
314.45,64.13
310.93,63.72
307.27,63.29
303.62,62.86
299.97,62.41
298.04,61.2
296.32,60.14
293.34,58.27
292.68,57.86
289.02,55.58
288.64,55.34
285.37,53.31
283.95,52.41
281.72,50.63
280.3,49.48
281.57,46.55
281.72,46.19
282.83,43.62
284.1,40.69
285.37,37.77
285.37,37.76
286.64,34.83
287.91,31.9
289.02,29.33
289.18,28.97
290.35,26.04
291.12,23.11
291.69,20.18
289.02,19.65
285.37,18.91
281.72,18.18
278.07,17.45
277.12,17.25
274.43,16.75
270.77,16.1
267.12,15.65
263.47,15.28
259.82,14.99
256.18,14.77
252.52,14.56
248.88,15.14
245.38,17.25
245.22,17.35
241.57,17.74
237.92,18.11
234.27,18.47
230.63,18.84
226.97,19.88
223.32,19.99
223.08,20.18
219.67,22.31
216.02,22.38
215.11,23.11
212.38,24.9
210.95,26.04
208.72,27.55
205.07,27.59
203.35,28.97
201.42,30.31
197.77,30.33
195.82,31.9
194.13,33.11
190.47,33.12
188.33,34.83
188.33,37.77
186.82,38.97
184.68,40.69
184.68,43.62
184.68,46.55
184.71,49.48
184.74,52.41
184.76,55.34
184.79,58.27
184.82,61.2
184.85,64.13
184.88,67.06
184.91,70.0
184.94,72.93
184.97,75.85
185.01,78.78
185.05,81.72
185.09,84.65
185.03,87.57
186.82,89.01
188.67,90.5
188.71,93.44
188.75,96.37
188.79,99.29
188.83,102.22
188.87,105.16
188.92,108.09
188.96,111.02
189.01,113.94
189.07,116.88
189.12,119.81
189.18,122.73
189.24,125.66
189.3,128.59
189.37,131.53
189.44,134.46
189.52,137.38
189.6,140.31
189.68,143.25
189.77,146.17
189.87,149.1
189.97,152.03
190.08,154.97
190.2,157.9
190.32,160.82
190.46,163.75
190.47,163.98
191.39,163.75
194.13,163.26
197.77,161.8
200.22,160.82
201.42,160.35
205.07,158.89
207.55,157.9
208.72,157.43
212.38,155.97
214.88,154.97
216.02,154.51
219.67,153.78
222.41,154.97
223.32,155.6
224.53,157.9
223.32,159.56
222.86,160.82
223.32,162.86
223.49,163.75
225.04,166.69
226.18,169.61
226.97,171.39
227.63,172.54
226.97,173.18
223.32,173.38
219.67,173.34
216.02,172.73
215.04,172.54
212.38,172.17
208.72,170.96
207.49,169.61
208.72,167.85
209.83,166.69
208.72,165.47
205.07,165.99
201.42,166.43
200.2,166.69
197.77,167.03
194.13,167.54
190.47,167.69
190.13,169.61
189.67,172.54
190.47,173.19
193.19,175.47
193.11,178.41
193.25,181.34
193.5,184.26
193.8,187.19
194.13,189.87
194.25,190.13
197.2,193.05
197.4,195.98

