#: table_doi: 10.17182/hepdata.79304.v4/t17
#: name: Table 17
#: description: $\textbf{Exclusion contour 1 (obs.) } -$ Observed 95% excluded regions in the plane of m(STOP) versus m(NEUTRALINO) for the direct stop pair production assuming either stop -> t N1, stop -> b W C1 or stop -> b f f' N1 decay with a branching ratio of 100%.

#: data_file: cont_stop_tN-obs.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(NEUTRALINO) [GeV]
199.05,1.12
198.27,0.97
196.62,3.12
194.31,4.36
194.21,4.53
193.65,7.77
193.21,11.14
192.99,14.74
193.12,18.67
193.62,22.98
194.31,26.82
199.05,32.2
199.18,32.34
203.8,37.92
208.54,43.05
209.64,42.8
208.54,40.35
206.81,36.17
208.54,36.76
213.29,40.94
218.03,45.07
222.78,49.53
226.1,55.46
225.27,58.44
223.24,60.21
224.15,64.93
223.07,67.66
222.78,67.65
218.03,64.33
213.78,58.38
213.29,57.69
208.54,51.04
204.26,45.04
203.8,44.4
199.05,37.76
194.73,31.71
194.31,30.84
194.29,31.26
189.56,29.52
188.53,29.32
189.21,33.81
189.02,37.42
188.84,41.05
188.67,44.69
188.52,48.35
188.38,52.02
188.25,55.7
188.13,59.39
188.01,63.08
187.91,66.79
187.81,70.5
187.72,74.21
187.63,77.93
187.55,81.66
187.47,85.39
187.4,89.13
187.33,92.87
187.26,96.61
187.2,100.36
187.14,104.11
187.09,107.86
187.03,111.62
186.98,115.37
186.93,119.13
186.89,122.9
186.84,126.66
186.8,130.43
186.77,134.21
186.77,138.02
186.77,141.83
186.77,145.63
186.77,149.44
189.56,154.48
191.62,158.1
194.31,162.95
199.05,167.73
201.46,171.76
203.8,175.96
208.54,180.76
211.45,185.55
213.29,188.86
217.13,195.04
218.03,196.67
222.78,201.55
227.52,208.38
232.27,213.6
236.19,217.91
237.01,218.81
241.76,224.03
246.5,229.87
251.25,236.77
255.99,241.23
260.74,245.64
265.48,249.98
270.23,254.2
274.97,258.12
279.72,261.98
282.58,264.3
284.46,265.36
289.21,268.04
291.32,269.23
290.39,264.49
289.21,260.38
288.86,259.15
287.21,253.69
285.56,248.24
284.46,244.6
283.91,242.78
282.26,237.32
280.61,231.86
284.18,231.62
284.46,231.73
289.21,233.51
290.29,233.92
293.95,235.3
296.39,236.22
