#: table_doi: 10.17182/hepdata.85726.v1/t47
#: name: Efficiency 1lyy SR1Lyy-a
#: description: Efficiencies for $1l\gamma\gamma$ signal region SR1Lyy-a.
#: data_file: 1Lyy_Eff_SRa.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Photon | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Efficiency
150.0,0.0,0.5953
152.5,22.5,0.4867
162.5,12.5,0.4839
165.0,35.0,0.458
175.0,0.0,0.4934
175.0,25.0,0.4621
177.5,47.5,0.4421
187.5,12.5,0.4799
187.5,37.5,0.5083
190.0,60.0,0.4975
200.0,25.0,0.5255
200.0,0.0,0.5225
200.0,50.0,0.4804
202.5,72.5,0.4743
212.5,37.5,0.5211
212.5,12.5,0.5509
212.5,62.5,0.4781
215.0,85.0,0.4829
225.0,0.0,0.4997
225.0,25.0,0.5042
225.0,50.0,0.4867
225.0,75.0,0.516
237.5,12.5,0.4949
227.5,97.5,0.4989
237.5,37.5,0.482
237.5,62.5,0.5531
237.5,87.5,0.469
240.0,110.0,0.4858
250.0,0.0,0.4981
250.0,25.0,0.52
250.0,50.0,0.4778
250.0,75.0,0.523
250.0,100.0,0.502
262.5,12.5,0.5257
262.5,37.5,0.5099
262.5,62.5,0.4972
262.5,87.5,0.5466
275.0,0.0,0.5114
275.0,25.0,0.5004
275.0,50.0,0.5025
275.0,75.0,0.5139
287.5,12.5,0.532
287.5,37.5,0.5556
287.5,62.5,0.5291
300.0,0.0,0.5267
300.0,25.0,0.5235
300.0,50.0,0.5314
300.0,75.0,0.5262
300.0,100.0,0.5239
312.5,12.5,0.5306
312.5,37.5,0.5044
325.0,0.0,0.5114
325.0,25.0,0.5415
325.0,50.0,0.5185
325.0,75.0,0.5236
325.0,100.0,0.5087
337.5,12.5,0.5522
350.0,0.0,0.5226
350.0,25.0,0.5375
350.0,50.0,0.5249
350.0,75.0,0.5158
350.0,100.0,0.5474
375.0,0.0,0.5364
375.0,25.0,0.529
375.0,50.0,0.5227
375.0,75.0,0.5661
400.0,0.0,0.5375
400.0,25.0,0.5621
400.0,50.0,0.5282
425.0,0.0,0.5428
425.0,25.0,0.5225
450.0,0.0,0.5331
400.0,75.0,0.5453
425.0,50.0,0.5371
425.0,75.0,0.5477
450.0,25.0,0.5194
450.0,50.0,0.5638
475.0,0.0,0.5418
500.0,0.0,0.5443
475.0,25.0,0.5465

