#: table_doi: 10.17182/hepdata.85726.v1/t34
#: name: Acceptance 0lbb SRHad-Low
#: description: Acceptance for $0lb\bar{b}$ SRHad-Low signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: acceptance_SRHad-Low.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Hadronic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
350.0,0.0,0.0033
350.0,50.0,0.0027
400.0,0.0,0.006
400.0,50.0,0.0055
400.0,100.0,0.0047
450.0,0.0,0.0092
450.0,50.0,0.0087
450.0,100.0,0.0078
450.0,150.0,0.0058
500.0,0.0,0.0128
500.0,50.0,0.0118
500.0,100.0,0.0108
500.0,150.0,0.0095
500.0,175.0,0.0081
550.0,0.0,0.0158
550.0,50.0,0.016
550.0,100.0,0.0144
550.0,150.0,0.0134
550.0,175.0,0.0115
600.0,0.0,0.0182
600.0,50.0,0.0178
600.0,100.0,0.0167
600.0,150.0,0.0163
600.0,175.0,0.0148
650.0,0.0,0.0204
650.0,50.0,0.0207
650.0,100.0,0.0192
650.0,150.0,0.0186
700.0,0.0,0.022
700.0,50.0,0.0216
550.0,200.0,0.0101
550.0,250.0,0.0073
600.0,200.0,0.014
600.0,250.0,0.0115
650.0,175.0,0.0177
650.0,200.0,0.0174
650.0,250.0,0.0154
700.0,100.0,0.0221
700.0,150.0,0.0209
700.0,175.0,0.0201
700.0,200.0,0.0196
750.0,0.0,0.0215
750.0,50.0,0.022
750.0,100.0,0.0228
750.0,150.0,0.0225
800.0,0.0,0.022
800.0,50.0,0.0221
800.0,100.0,0.0229
800.0,150.0,0.0218
850.0,0.0,0.0215
850.0,50.0,0.0217

