#: table_doi: 10.17182/hepdata.85726.v1/t24
#: name: Observed limit 0lbb 1D massless
#: description: The observed cross-section exclusion as a function of the $\tilde{\chi}_{1}^{\pm}$/$\tilde{\chi}_{2}^{0}$ masses for the $0lb\bar{b}$ analysis for signal models assuming $m(\tilde{\chi}_{1}^{0}) = 0$ GeV.
#: data_file: 1D_massless_1D_had_obs.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Limit | Observed | Hadronic | Chargino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(LIMIT) [GEV]
350.0,0.9142
400.0,0.7669
450.0,0.5306
500.0,0.4968
550.0,0.5117
600.0,0.6543
650.0,0.8064
700.0,1.103
750.0,1.5758
800.0,2.1735
850.0,3.4614

