#: table_doi: 10.17182/hepdata.85726.v1/t36
#: name: Acceptance 0lbb SRHad-High
#: description: Acceptance for $0lb\bar{b}$ SRHad-High signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: acceptance_SRHad-High.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Hadronic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
350.0,0.0,0.0011
350.0,50.0,0.0008
400.0,0.0,0.0024
400.0,50.0,0.0021
400.0,100.0,0.0018
450.0,0.0,0.0048
450.0,50.0,0.0042
450.0,100.0,0.0034
450.0,150.0,0.0022
500.0,0.0,0.0086
500.0,50.0,0.008
500.0,100.0,0.0065
500.0,150.0,0.0049
500.0,175.0,0.0039
550.0,0.0,0.0127
550.0,50.0,0.0126
550.0,100.0,0.011
550.0,150.0,0.0096
550.0,175.0,0.0075
600.0,0.0,0.0156
600.0,50.0,0.0156
600.0,100.0,0.0144
600.0,150.0,0.0133
600.0,175.0,0.0116
650.0,0.0,0.0184
650.0,50.0,0.0187
650.0,100.0,0.0173
650.0,150.0,0.0165
700.0,0.0,0.0204
700.0,50.0,0.02
550.0,200.0,0.0059
550.0,250.0,0.0033
600.0,200.0,0.0105
600.0,250.0,0.0076
650.0,175.0,0.0154
650.0,200.0,0.0147
650.0,250.0,0.0123
700.0,100.0,0.0202
700.0,150.0,0.0191
700.0,175.0,0.0184
700.0,200.0,0.0177
750.0,0.0,0.0205
750.0,50.0,0.0205
750.0,100.0,0.0216
750.0,150.0,0.0213
800.0,0.0,0.0214
800.0,50.0,0.0208
800.0,100.0,0.0215
800.0,150.0,0.0208
850.0,0.0,0.0203
850.0,50.0,0.0208

