#: table_doi: 10.17182/hepdata.85726.v1/t55
#: name: Acceptance 3l SR3L-SFOS-1J
#: description: Acceptance for $3L$ SFOS signal region SR3L-SFOS-1J. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Acceptance_SFOS_1j.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,2.5e-05
152.5,22.5,2.4e-05
162.5,12.5,3.2e-05
175.0,0.0,3.3e-05
175.0,25.0,4.1e-05
177.5,47.5,2.8e-05
187.5,12.5,5.2e-05
187.5,37.5,4e-05
190.0,60.0,3.2e-05
200.0,0.0,7.6e-05
200.0,25.0,5.4e-05
200.0,50.0,2.3e-05
202.5,72.5,4e-05
212.5,12.5,6.6e-05
212.5,37.5,6.1e-05
212.5,62.5,4.5e-05
215.0,85.0,4.1e-05
225.0,0.0,8.7e-05
225.0,25.0,7.5e-05
225.0,50.0,6.2e-05
225.0,75.0,7.5e-05
227.5,97.5,3.1e-05
237.5,12.5,0.000126
237.5,37.5,0.000118
237.5,62.5,4.3e-05
237.5,87.5,2.8e-05
240.0,110.0,4.4e-05
250.0,0.0,9.5e-05
250.0,100.0,3.7e-05
250.0,25.0,9e-05
250.0,50.0,7.5e-05
250.0,75.0,8.3e-05
262.5,12.5,0.000116
262.5,37.5,6.5e-05
262.5,62.5,7.6e-05
262.5,87.5,9.5e-05
275.0,0.0,0.000134
275.0,25.0,7.7e-05
275.0,50.0,0.000133
275.0,75.0,7.2e-05
287.5,12.5,0.000157
287.5,37.5,0.000124
287.5,62.5,0.000114
300.0,0.0,0.000231
300.0,100.0,9.1e-05
300.0,25.0,0.000141
300.0,50.0,0.000155
300.0,75.0,0.000125
312.5,12.5,0.000175
325.0,0.0,0.000205
325.0,100.0,0.000146
325.0,25.0,0.000156
325.0,50.0,0.000183
325.0,75.0,0.000143
337.5,12.5,0.000195
350.0,0.0,0.000141
350.0,100.0,0.00023
350.0,25.0,0.000211
350.0,50.0,0.000156
350.0,75.0,0.000176
375.0,0.0,0.000347
375.0,25.0,0.000212
375.0,50.0,0.000251
375.0,75.0,0.000275
400.0,0.0,0.00036
400.0,100.0,0.000169
400.0,25.0,0.000274
400.0,50.0,0.000236
400.0,75.0,0.000182
425.0,0.0,0.000336
425.0,100.0,0.000291
425.0,25.0,0.000311
425.0,50.0,0.00033
425.0,75.0,0.000427
450.0,0.0,0.000312
450.0,100.0,0.000261
450.0,25.0,0.000346
450.0,50.0,0.000382
450.0,75.0,0.000357
475.0,0.0,0.000375
475.0,100.0,0.000387
475.0,25.0,0.000318
475.0,50.0,0.000314
475.0,75.0,0.000249
500.0,0.0,0.000424
500.0,25.0,0.000336
500.0,50.0,0.000411
500.0,75.0,0.000323
525.0,0.0,0.000368
525.0,25.0,0.000471
525.0,50.0,0.000401
550.0,0.0,0.000433
550.0,25.0,0.000456
575.0,25.0,0.000466

