#: table_doi: 10.17182/hepdata.85726.v1/t41
#: name: Acceptance 1lbb SR1Lbb-Medium
#: description: Acceptance for $1lb\bar{b}$ SR1Lbb-Medium signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lbb_Acc_SR2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Leptonic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
600.0,50.0,0.002881997496
600.0,75.0,0.002528801856
600.0,100.0,0.003129469344
600.0,125.0,0.00272230308
625.0,0.0,0.003117160584
625.0,25.0,0.003039436872
625.0,50.0,0.003010346856
625.0,75.0,0.003065971176
625.0,100.0,0.003305362464
650.0,0.0,0.002618590032
650.0,25.0,0.002824888608
650.0,50.0,0.00316654596
650.0,75.0,0.002816244288
650.0,100.0,0.00289932372
675.0,0.0,0.003247501896
675.0,25.0,0.002866644432
675.0,50.0,0.00295259904
675.0,75.0,0.003079219536
675.0,100.0,0.003647282904
700.0,0.0,0.002708397
700.0,25.0,0.00329245236
700.0,50.0,0.002904641856
750.0,0.0,0.003378933144
750.0,25.0,0.002687331168
750.0,50.0,0.002825922168
800.0,0.0,0.002880682056
800.0,25.0,0.00277266564
800.0,50.0,0.002719258776
375.0,225.0,0.000274720248
400.0,225.0,0.0007255158984
400.0,250.0,0.0003177670824
425.0,225.0,0.0007681944096
425.0,250.0,0.000676681128
450.0,225.0,0.0012172348872
450.0,250.0,0.0008756527032
475.0,175.0,0.001940386752
475.0,200.0,0.0018688192992
475.0,225.0,0.0017715143232
475.0,250.0,0.0012728911536
500.0,175.0,0.002404135728
500.0,200.0,0.002487102408
500.0,225.0,0.0017499749328
500.0,250.0,0.0016154073
525.0,150.0,0.002144467872
525.0,175.0,0.002824963776
525.0,200.0,0.002430162648
525.0,225.0,0.001989866088
525.0,250.0,0.0016034781384
550.0,150.0,0.002733634656
550.0,175.0,0.00249773868
550.0,200.0,0.002229088248
550.0,225.0,0.0022780602
550.0,250.0,0.00204616692
575.0,150.0,0.003042293256
575.0,175.0,0.002423265984
575.0,200.0,0.002463518448
575.0,225.0,0.002474267472
575.0,250.0,0.002512152144
600.0,150.0,0.003076325568
600.0,175.0,0.0028075248
600.0,200.0,0.002440084824
600.0,225.0,0.002495126592
600.0,250.0,0.002266052112
625.0,125.0,0.002654971344
625.0,150.0,0.003143864016
625.0,175.0,0.0025543026
625.0,200.0,0.00299140452
625.0,225.0,0.003117855888
625.0,250.0,0.002521660896
650.0,125.0,0.002613610152
650.0,150.0,0.002483193672
650.0,175.0,0.003020757624
650.0,200.0,0.002874386736
650.0,225.0,0.002490710472
650.0,250.0,0.003101882688
675.0,125.0,0.002985165576
675.0,150.0,0.00318552588
675.0,175.0,0.003456619272
675.0,200.0,0.003309102072
675.0,225.0,0.002746864224
675.0,250.0,0.00305971344
700.0,100.0,0.00288757872
700.0,125.0,0.002791044216
700.0,150.0,0.002597542992
700.0,175.0,0.002648676024
700.0,200.0,0.003271048272
700.0,225.0,0.0032890698
700.0,250.0,0.002934709056
750.0,100.0,0.002794050936
750.0,125.0,0.002615639688
750.0,150.0,0.00301743144
750.0,175.0,0.00267381972
750.0,200.0,0.002869218936
750.0,225.0,0.003040489224
750.0,250.0,0.00292741776
800.0,100.0,0.003295139616
800.0,125.0,0.00275368572
800.0,150.0,0.003440514528
800.0,175.0,0.002717999712
800.0,200.0,0.003067869168
800.0,225.0,0.002877280704
800.0,250.0,0.002862284688

