#: table_doi: 10.17182/hepdata.85726.v1/t35
#: name: Efficiency 0lbb SRHad-Low
#: description: Efficiencies for $0lb\bar{b}$ SRHad-Low signal region.
#: data_file: efficiency_SRHad-Low.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Hadronic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(C1/N2) [GEV],M(N1) [GEV],
350.0,0.0,0.4502
350.0,50.0,0.5104
400.0,0.0,0.5093
400.0,50.0,0.478
400.0,100.0,0.4279
450.0,0.0,0.4876
450.0,50.0,0.4667
450.0,100.0,0.4706
450.0,150.0,0.4719
500.0,0.0,0.4666
500.0,50.0,0.4605
500.0,100.0,0.4821
500.0,150.0,0.4868
500.0,175.0,0.5002
550.0,0.0,0.4961
550.0,50.0,0.4605
550.0,100.0,0.4734
550.0,150.0,0.4719
550.0,175.0,0.491
600.0,0.0,0.4771
600.0,50.0,0.4786
600.0,100.0,0.4718
600.0,150.0,0.4565
600.0,175.0,0.462
650.0,0.0,0.4717
650.0,50.0,0.4831
650.0,100.0,0.4836
650.0,150.0,0.4672
700.0,0.0,0.4593
700.0,50.0,0.4548
550.0,200.0,0.5233
550.0,250.0,0.4711
600.0,200.0,0.4509
600.0,250.0,0.485
650.0,175.0,0.503
650.0,200.0,0.4596
650.0,250.0,0.447
700.0,100.0,0.4427
700.0,150.0,0.455
700.0,175.0,0.4782
700.0,200.0,0.4699
750.0,0.0,0.458
750.0,50.0,0.4672
750.0,100.0,0.4567
750.0,150.0,0.4616
800.0,0.0,0.4747
800.0,50.0,0.4756
800.0,100.0,0.4437
800.0,150.0,0.4631
850.0,0.0,0.4283
850.0,50.0,0.455

