#: table_doi: 10.17182/hepdata.85726.v1/t48
#: name: Acceptance 1lyy SR1Lyy-b
#: description: Acceptance for $1l\gamma\gamma$ signal region SR1Lyy-b. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lyy_Acc_SRb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Photon | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
150.0,0.0,9.011e-05
152.5,22.5,9.266e-05
162.5,12.5,8.64e-05
165.0,35.0,8.85e-05
175.0,0.0,8.499e-05
175.0,25.0,8.361e-05
177.5,47.5,8.735e-05
187.5,12.5,8.183e-05
187.5,37.5,8.474e-05
190.0,60.0,8.717e-05
200.0,25.0,8.04e-05
200.0,0.0,8.059e-05
200.0,50.0,8.215e-05
202.5,72.5,7.961e-05
212.5,37.5,7.854e-05
212.5,12.5,7.748e-05
212.5,62.5,8.458e-05
215.0,85.0,8.278e-05
225.0,0.0,7.72e-05
225.0,25.0,8.066e-05
225.0,50.0,7.51e-05
225.0,75.0,8.018e-05
237.5,12.5,7.886e-05
227.5,97.5,7.898e-05
237.5,37.5,7.707e-05
237.5,62.5,7.702e-05
237.5,87.5,8.277e-05
240.0,110.0,8.398e-05
250.0,0.0,7.339e-05
250.0,25.0,7.437e-05
250.0,50.0,7.745e-05
250.0,75.0,8.082e-05
250.0,100.0,7.838e-05
262.5,12.5,7.186e-05
262.5,37.5,7.107e-05
262.5,62.5,7.63e-05
262.5,87.5,7.778e-05
275.0,0.0,7.246e-05
275.0,25.0,6.945e-05
275.0,50.0,7.51e-05
275.0,75.0,7.639e-05
287.5,12.5,7.195e-05
287.5,37.5,7.176e-05
287.5,62.5,7.431e-05
300.0,0.0,7.527e-05
300.0,25.0,7.399e-05
300.0,50.0,7.3e-05
300.0,75.0,7.552e-05
300.0,100.0,7.572e-05
312.5,12.5,6.815e-05
312.5,37.5,7.607e-05
325.0,0.0,7.527e-05
325.0,25.0,6.989e-05
325.0,50.0,7.199e-05
325.0,75.0,6.774e-05
325.0,100.0,7.367e-05
337.5,12.5,6.989e-05
350.0,0.0,6.484e-05
350.0,25.0,6.88e-05
350.0,50.0,7.085e-05
350.0,75.0,7.046e-05
350.0,100.0,7.199e-05
375.0,0.0,7.077e-05
375.0,25.0,6.555e-05
375.0,50.0,6.689e-05
375.0,75.0,6.475e-05
400.0,0.0,6.424e-05
400.0,25.0,6.394e-05
400.0,50.0,6.657e-05
425.0,0.0,6.34e-05
425.0,25.0,6.932e-05
450.0,0.0,6.008e-05
400.0,75.0,6.693e-05
425.0,50.0,6.336e-05
425.0,75.0,5.972e-05
450.0,25.0,6.249e-05
450.0,50.0,6.132e-05
475.0,0.0,6.195e-05
500.0,0.0,5.87e-05
475.0,25.0,5.925e-05

