#: table_doi: 10.17182/hepdata.85726.v1/t52
#: name: Efficiency SS SRSS-j1
#: description: Efficiencies for $l^{\pm}l^{\pm}$ signal region SRSS-j1. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Eff_SRSS-j1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Same-Sign | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Efficiency
150,0,0.525699
152.5,22.5,0.695206
162.5,12.5,0.55202
175,0,0.701774
175,25,0.555297
177.5,47.5,0.417637
187.5,12.5,0.560949
187.5,37.5,0.630737
190,60,0.573371
200,0,0.648571
200,25,0.50149
200,50,0.603235
202.5,72.5,0.995383
212.5,12.5,0.532253
212.5,37.5,0.445951
212.5,62.5,0.568681
215,85,0.873004
225,0,0.554624
225,25,0.380072
225,50,0.453884
225,75,1.13152
227.5,97.5,0.75945
237.5,12.5,0.48862
237.5,37.5,0.493699
237.5,62.5,0.650555
237.5,87.5,0.353759
240,110,0.57918
250,0,0.469952
250,25,0.525212
250,50,0.676832
250,75,0.469723
250,100,0.563584
262.5,12.5,0.751791
262.5,37.5,0.489864
262.5,62.5,0.69252
262.5,87.5,0.477048
275,0,0.498512
275,25,0.436986
275,50,0.464327
275,75,0.595808
287.5,12.5,0.661326
287.5,37.5,0.768647
287.5,62.5,0.416478
300,0,0.54594
300,25,0.568116
300,50,0.367454
300,75,0.686661
300,100,0.545745
312.5,12.5,-1
312.5,37.5,-1
325,0,-1
325,25,-1
325,50,-1
325,75,-1
325,100,-1
337.5,12.5,-1
350,0,-1
350,25,-1
350,50,-1
350,75,-1
350,100,-1

