#: table_doi: 10.17182/hepdata.85726.v1/t50
#: name: Upper limits 1Lyy
#: description: Upper cross section limits for the $1l\gamma\gamma$ analysis.
#: data_file: 1Lyy_UL.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Photon | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTALINO1) [GEV],UL [pb]
150.0,0.0,6.8
152.5,22.5,6.8
162.5,12.5,6.6
165.0,35.0,7.0
175.0,0.0,5.5
175.0,25.0,5.9
177.5,47.5,6.4
187.5,12.5,5.0
187.5,37.5,5.5
190.0,60.0,6.0
200.0,0.0,4.2
200.0,25.0,4.6
200.0,50.0,5.2
202.5,72.5,6.4
212.5,12.5,4.0
212.5,37.5,4.4
212.5,62.5,5.0
215.0,85.0,5.9
225.0,0.0,4.1
225.0,25.0,3.8
225.0,50.0,4.3
225.0,75.0,4.6
227.5,97.5,5.6
237.5,12.5,3.8
237.5,37.5,3.9
237.5,62.5,3.7
237.5,87.5,4.7
240.0,110.0,5.3
250.0,0.0,3.6
250.0,100.0,4.5
250.0,25.0,3.4
250.0,50.0,3.9
250.0,75.0,4.0

