#: table_doi: 10.17182/hepdata.85726.v1/t56
#: name: Efficiency 3l SR3L-SFOS-1J
#: description: Efficiencies for $3L$ SFOS signal region SR3L-SFOS-1J. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_SFOS_1j.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.7063
152.5,22.5,0.5566
162.5,12.5,0.5675
175.0,0.0,0.4601
175.0,25.0,0.3058
177.5,47.5,0.7097
187.5,12.5,0.4306
187.5,37.5,0.466
190.0,60.0,0.7627
200.0,0.0,0.7151
200.0,25.0,0.7262
200.0,50.0,0.9917
202.5,72.5,0.7551
212.5,12.5,0.5524
212.5,37.5,0.603
212.5,62.5,0.638
215.0,85.0,0.6541
225.0,0.0,0.2959
225.0,25.0,0.6205
225.0,50.0,0.4888
225.0,75.0,0.9507
227.5,97.5,1.4985
237.5,12.5,0.519
237.5,37.5,0.4337
237.5,62.5,0.9391
237.5,87.5,0.655
240.0,110.0,0.8714
250.0,0.0,0.4408
250.0,100.0,0.6006
250.0,25.0,0.4678
250.0,50.0,0.1883
250.0,75.0,0.9294
262.5,12.5,0.5906
262.5,37.5,0.4663
262.5,62.5,0.4398
262.5,87.5,0.391
275.0,0.0,0.5813
275.0,25.0,0.7689
275.0,50.0,0.4759
275.0,75.0,0.3006
287.5,12.5,0.3132
287.5,37.5,0.3722
287.5,62.5,0.6883
300.0,0.0,0.4665
300.0,100.0,0.9005
300.0,25.0,0.3985
300.0,50.0,0.5309
300.0,75.0,0.4952
312.5,12.5,0.5375
325.0,0.0,0.5891
325.0,100.0,0.4289
325.0,25.0,0.6902
325.0,50.0,0.3983
325.0,75.0,0.6559
337.5,12.5,0.5561
350.0,0.0,0.4253
350.0,100.0,0.4726
350.0,25.0,0.4283
350.0,50.0,0.5769
350.0,75.0,0.7418
375.0,0.0,0.6452
375.0,25.0,0.6464
375.0,50.0,0.5179
375.0,75.0,0.4711
400.0,0.0,0.8206
400.0,100.0,0.6636
400.0,25.0,0.738
400.0,50.0,0.554
400.0,75.0,0.4174
425.0,0.0,0.5344
425.0,100.0,0.4741
425.0,25.0,0.5036
425.0,50.0,0.4096
425.0,75.0,0.5737
450.0,0.0,0.6679
450.0,100.0,0.3059
450.0,25.0,0.2941
450.0,50.0,0.4654
450.0,75.0,0.4715
475.0,0.0,0.4368
475.0,100.0,0.4022
475.0,25.0,0.4387
475.0,50.0,0.5457
475.0,75.0,0.6283
500.0,0.0,0.4267
500.0,25.0,0.4074
500.0,50.0,0.4621
500.0,75.0,0.4221
525.0,0.0,0.2561
525.0,25.0,0.411
525.0,50.0,0.6337
550.0,0.0,0.8039
550.0,25.0,0.3864
575.0,25.0,0.6044

