#: table_doi: 10.17182/hepdata.85726.v1/t9
#: name: Observed limit 0lbb
#: description: The observed exclusion for the $0lb\bar{b}$ channel. Experimental and theoretical systematic uncertainties are applied to background and signal samples and illustrated by the yellow band and the red dotted contour lines, respectively. The red dotted lines indicate the $\pm$ 1 standard-deviation variation on the observed exclusion limit due to theoretical uncertainties in the signal cross-section.
#: data_file: 0lep_Obs_0.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Limit | Observed | Hadronic | Chargino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV]
356.25,40.372
356.6413,40.625
367.9445,46.875
368.75,47.1951
378.8042,53.125
381.25,55.2984
387.1154,59.375
392.5086,65.625
393.75,67.0841
399.6055,71.875
404.4588,78.125
406.25,80.4718
410.3166,84.375
415.3617,90.625
418.75,95.0002
420.8246,96.875
427.7264,103.125
431.25,106.361
435.8898,109.375
443.299,115.625
443.75,116.0163
452.3933,121.875
456.25,125.4915
459.5165,128.125
467.0968,134.375
468.75,136.0693
474.1106,140.625
480.7984,146.875
481.25,147.3842
487.7741,153.125
493.75,158.7407
494.678,159.375
503.6399,165.625
506.25,167.645
513.5486,171.875
518.75,175.4257
523.3517,178.125
531.25,182.7001
534.9781,184.375
543.75,188.1585
555.0046,190.625
556.25,190.9238
568.75,191.3714
581.25,191.3908
593.75,191.9415
606.25,193.6352
618.75,195.6424
628.259,196.875
631.25,197.3561
643.75,197.3533
644.9193,196.875
655.9059,190.625
656.25,190.3448
660.7421,184.375
664.4879,178.125
666.1629,171.875
665.8923,165.625
665.4584,159.375
665.5848,153.125
666.4154,146.875
667.4635,140.625
668.5516,134.375
668.75,133.1069
669.4538,128.125
670.1366,121.875
670.5963,115.625
670.8767,109.375
671.1409,103.125
671.6413,96.875
672.495,90.625
673.6199,84.375
674.9424,78.125
676.4219,71.875
678.0446,65.625
679.7865,59.375
681.25,54.0073
681.5033,53.125
682.9801,46.875
684.0691,40.625
684.976,34.375
685.8064,28.125
686.5421,21.875
687.131,15.625
687.5373,9.375
687.7538,3.125

