#: table_doi: 10.17182/hepdata.91374.v1/t62
#: name: Figure 34b
#: description: Efficiency for the N2N1 VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_34b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.42041
40.0,3.0,0.59035
40.0,5.0,0.47797
40.0,10.0,0.45866
40.0,20.0,0.49128
40.0,40.0,0.5821
60.0,2.0,0.45249
60.0,3.0,0.53505
60.0,5.0,0.52267
60.0,10.0,0.516
60.0,20.0,0.48114
60.0,40.0,0.44444
80.0,2.0,0.53131
80.0,3.0,0.53707
80.0,5.0,0.53977
80.0,10.0,0.5416
80.0,20.0,0.44066
80.0,40.0,0.48135
120.0,2.0,0.49452
120.0,3.0,0.50907
120.0,5.0,0.53496
120.0,10.0,0.44031
120.0,20.0,0.45456
120.0,40.0,0.51846
100.0,2.0,0.54245
100.0,3.0,0.50624
100.0,5.0,0.47258

