#: table_doi: 10.17182/hepdata.91374.v1/t37
#: name: Figure 30e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p higgsino process in the SR-E-med region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_30e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.023663
100.0,20.0,0.2375
101.5,1.5,0.0035455
102.0,2.0,0.027533
103.0,3.0,0.19519
105.0,5.0,0.60197
110.0,10.0,0.81722
110.0,30.0,0.078602
115.0,15.0,0.50201
120.0,20.0,0.31662
120.0,60.0,0.0078283
120.0,40.0,0.030703
126.5,1.5,0.0018253
127.0,2.0,0.020593
128.0,3.0,0.14819
130.0,30.0,0.075032
130.0,5.0,0.64106
135.0,10.0,0.95472
140.0,40.0,0.04479
140.0,15.0,0.5898
140.0,60.0,0.019562
145.0,20.0,0.37421
152.0,2.0,0.014637
153.0,3.0,0.13453
155.0,30.0,0.12078
155.0,5.0,0.62333
160.0,60.0,0.013314
160.0,10.0,1.2136
165.0,40.0,0.04258
165.0,15.0,0.80505
170.0,20.0,0.4006
178.0,3.0,0.15351
180.0,30.0,0.12652
180.0,5.0,0.51231
185.0,10.0,1.2872
190.0,40.0,0.058293
190.0,15.0,0.79808
195.0,20.0,0.48696
202.0,2.0,0.010218
203.0,3.0,0.12273
205.0,5.0,0.51135
210.0,10.0,1.3897
215.0,15.0,0.9834
220.0,20.0,0.55591
230.0,30.0,0.17587
230.0,5.0,0.49797
235.0,10.0,1.5346
240.0,40.0,0.060476
240.0,15.0,1.108
252.0,2.0,0.0088191
253.0,3.0,0.083222
255.0,5.0,0.57532
260.0,10.0,1.5308
265.0,15.0,1.0614
270.0,20.0,0.63797
280.0,30.0,0.14903
290.0,40.0,0.054545
81.5,1.5,0.0035718
82.0,2.0,0.038195
83.0,3.0,0.20661
85.0,5.0,0.54167
90.0,10.0,0.64125
95.0,15.0,0.41338

