#: table_doi: 10.17182/hepdata.91374.v1/t86
#: name: Figure 45ab
#: description: Observed and Expected upper cross-section limits for direct smuon scenarios.
#: data_file: figure_45ab.yaml
#: keyword reactions: P P --> SMUON SMUON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,30.0,0.38757
100.0,20.0,0.16343
100.0,10.0,0.053318
100.0,5.0,0.049489
100.0,2.0,0.14414
100.0,1.0,0.15561
100.0,0.7,0.7293
100.0,0.5,6.2705
125.0,20.0,0.10035
125.0,10.0,0.036456
125.0,5.0,0.043541
125.0,2.0,0.10109
125.0,1.0,0.1487
125.0,0.7,0.95342
125.0,0.5,8.398
125.0,40.0,0.25806
125.0,30.0,0.19437
150.0,40.0,0.27001
150.0,25.7,0.11058
150.0,20.0,0.073108
150.0,10.0,0.025018
150.0,5.0,0.029337
150.0,2.0,0.080261
150.0,1.0,0.22705
150.0,0.5,4.7582
175.0,40.0,0.1397
175.0,20.0,0.044698
175.0,10.0,0.019369
175.0,5.0,0.027896
175.0,2.0,0.049173
175.0,1.0,0.23165
200.0,40.0,0.10931
200.0,30.0,0.091305
200.0,20.0,0.034811
200.0,10.0,0.018887
200.0,5.0,0.023181
200.0,2.0,0.048071
200.0,1.0,0.34936
225.0,40.0,0.19554
225.0,30.0,0.12126
225.0,20.0,0.040958
225.0,10.0,0.016955
225.0,5.0,0.020398
225.0,2.0,0.036019
225.0,1.0,0.41333
250.0,20.0,0.034721
250.0,10.0,0.012572
250.0,5.0,0.019584
250.0,2.0,0.02215
250.0,1.0,0.40447
300.0,10.0,0.013255
300.0,5.0,0.021118
300.0,2.0,0.03351
50.0,5.0,0.32042
50.0,2.0,0.56409
50.0,1.0,1.3893
50.0,0.7,2.07
50.0,0.5,2.0365
50.0,0.3,27.133
60.0,5.0,0.16274
60.0,2.0,0.36753
60.0,1.0,0.84402
60.0,0.7,0.87815
60.0,0.5,1.6935
60.0,0.3,34.73
70.0,5.0,0.10599
70.0,2.0,0.2997
70.0,1.0,0.39619
70.0,0.7,0.55599
70.0,0.5,2.2656
90.0,20.0,0.21098

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,30.0,0.36427
100.0,20.0,0.19236
100.0,10.0,0.073615
100.0,5.0,0.061903
100.0,2.0,0.1207
100.0,1.0,0.25555
100.0,0.7,1.05
100.0,0.5,6.9965
125.0,20.0,0.1187
125.0,10.0,0.047156
125.0,5.0,0.047092
125.0,2.0,0.097932
125.0,1.0,0.2521
125.0,0.7,1.3294
125.0,0.5,9.535
125.0,40.0,0.29303
125.0,30.0,0.24503
150.0,40.0,0.25482
150.0,25.7,0.11204
150.0,20.0,0.084054
150.0,10.0,0.033386
150.0,5.0,0.031651
150.0,2.0,0.073298
150.0,1.0,0.34672
150.0,0.5,5.3221
175.0,40.0,0.17955
175.0,20.0,0.051153
175.0,10.0,0.02543
175.0,5.0,0.027532
175.0,2.0,0.05628
175.0,1.0,0.32534
200.0,40.0,0.12256
200.0,30.0,0.086012
200.0,20.0,0.043346
200.0,10.0,0.022371
200.0,5.0,0.024355
200.0,2.0,0.060095
200.0,1.0,0.44462
225.0,40.0,0.20853
225.0,30.0,0.085663
225.0,20.0,0.043543
225.0,10.0,0.02023
225.0,5.0,0.023453
225.0,2.0,0.054386
225.0,1.0,0.49689
250.0,20.0,0.045353
250.0,10.0,0.015846
250.0,5.0,0.017655
250.0,2.0,0.03629
250.0,1.0,0.52414
300.0,10.0,0.016829
300.0,5.0,0.01787
300.0,2.0,0.043349
50.0,5.0,0.42388
50.0,2.0,0.60062
50.0,1.0,1.1563
50.0,0.7,2.5669
50.0,0.5,3.3064
50.0,0.3,32.707
60.0,5.0,0.21219
60.0,2.0,0.35356
60.0,1.0,0.8151
60.0,0.7,1.3549
60.0,0.5,2.7476
60.0,0.3,39.529
70.0,5.0,0.14157
70.0,2.0,0.25615
70.0,1.0,0.49233
70.0,0.7,0.91418
70.0,0.5,3.6017
90.0,20.0,0.24147

