#: table_doi: 10.17182/hepdata.91374.v1/t74
#: name: Figure 36b
#: description: Efficiency for the N2C1m VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_36b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.31922
40.0,3.0,0.24926
40.0,5.0,0.27818
40.0,10.0,0.31607
40.0,20.0,0.39974
40.0,40.0,0.61625
60.0,2.0,0.49281
60.0,3.0,0.52051
60.0,5.0,0.46188
60.0,10.0,0.42459
60.0,20.0,0.40984
60.0,40.0,0.55493
80.0,2.0,0.49679
80.0,3.0,0.56131
80.0,5.0,0.48336
80.0,10.0,0.44484
80.0,20.0,0.46339
80.0,40.0,0.4202
120.0,2.0,0.45375
120.0,3.0,0.51557
120.0,5.0,0.53211
120.0,10.0,0.41907
120.0,20.0,0.43997
120.0,40.0,0.51048
100.0,2.0,0.41848
100.0,3.0,0.54333
100.0,5.0,0.49704

