#: table_doi: 10.17182/hepdata.91374.v1/t84
#: name: Figure 44cd
#: description: Observed and Expected upper cross-section limits for direct LH slepton scenarios.
#: data_file: figure_44cd.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,1.1266
100.0,30.0,0.9151
100.0,20.0,0.31861
100.0,10.0,0.096232
100.0,5.0,0.089583
100.0,2.0,0.23811
100.0,1.0,0.27071
100.0,0.7,1.2913
100.0,0.5,6.8583
125.0,20.0,0.20344
125.0,10.0,0.066599
125.0,5.0,0.076493
125.0,2.0,0.16799
125.0,1.0,0.24778
125.0,0.7,1.7496
125.0,0.5,16.341
125.0,40.0,0.54814
125.0,30.0,0.49537
150.0,40.0,0.54316
150.0,30.0,0.33373
150.0,25.7,0.19688
150.0,20.0,0.12822
150.0,10.0,0.046613
150.0,5.0,0.050796
150.0,2.0,0.12029
150.0,1.0,0.4278
150.0,0.5,9.3621
175.0,40.0,0.26817
175.0,30.0,0.2964
175.0,20.0,0.082515
175.0,10.0,0.033201
175.0,5.0,0.04958
175.0,2.0,0.081912
175.0,1.0,0.34439
200.0,40.0,0.1484
200.0,30.0,0.14633
200.0,20.0,0.078361
200.0,10.0,0.037478
200.0,5.0,0.038528
200.0,2.0,0.079176
200.0,1.0,0.5327
225.0,40.0,0.30295
225.0,30.0,0.18978
225.0,20.0,0.076892
225.0,10.0,0.030781
225.0,5.0,0.035701
225.0,2.0,0.053821
225.0,1.0,0.58678
250.0,20.0,0.061205
250.0,10.0,0.022305
250.0,5.0,0.035627
250.0,2.0,0.040102
250.0,1.0,0.64304
300.0,10.0,0.022661
300.0,5.0,0.032398
300.0,2.0,0.053677
50.0,5.0,0.52085
50.0,2.0,1.0766
50.0,1.0,2.426
50.0,0.7,3.3801
50.0,0.5,3.663
50.0,0.3,47.184
60.0,5.0,0.28926
60.0,2.0,0.7065
60.0,1.0,1.4266
60.0,0.7,1.5141
60.0,0.5,3.0471
60.0,0.3,55.515
70.0,5.0,0.1836
70.0,2.0,0.56796
70.0,1.0,0.67027
70.0,0.7,1.0373
70.0,0.5,4.2546
90.0,40.0,2.476
90.0,20.0,0.35769

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,1.1115
100.0,30.0,0.66096
100.0,20.0,0.3266
100.0,10.0,0.12187
100.0,5.0,0.10512
100.0,2.0,0.20393
100.0,1.0,0.4562
100.0,0.7,1.9359
100.0,0.5,8.6916
125.0,20.0,0.19491
125.0,10.0,0.080639
125.0,5.0,0.080057
125.0,2.0,0.16791
125.0,1.0,0.43652
125.0,0.7,2.6918
125.0,0.5,19.025
125.0,40.0,0.54926
125.0,30.0,0.44873
150.0,40.0,0.45447
150.0,30.0,0.27701
150.0,25.7,0.17206
150.0,20.0,0.13911
150.0,10.0,0.056445
150.0,5.0,0.050559
150.0,2.0,0.12592
150.0,1.0,0.69031
150.0,0.5,8.2565
175.0,40.0,0.33183
175.0,30.0,0.20994
175.0,20.0,0.088574
175.0,10.0,0.040428
175.0,5.0,0.049032
175.0,2.0,0.10199
175.0,1.0,0.52098
200.0,40.0,0.16785
200.0,30.0,0.11656
200.0,20.0,0.079362
200.0,10.0,0.039188
200.0,5.0,0.039097
200.0,2.0,0.11133
200.0,1.0,0.72256
225.0,40.0,0.24576
225.0,30.0,0.13438
225.0,20.0,0.068087
225.0,10.0,0.035583
225.0,5.0,0.039907
225.0,2.0,0.08552
225.0,1.0,0.80123
250.0,20.0,0.060272
250.0,10.0,0.02719
250.0,5.0,0.032055
250.0,2.0,0.069307
250.0,1.0,0.9349
300.0,10.0,0.026849
300.0,5.0,0.028306
300.0,2.0,0.078879
50.0,5.0,0.70483
50.0,2.0,1.0755
50.0,1.0,2.0263
50.0,0.7,4.2893
50.0,0.5,6.1302
50.0,0.3,61.194
60.0,5.0,0.35699
60.0,2.0,0.63056
60.0,1.0,1.4214
60.0,0.7,2.4109
60.0,0.5,5.2067
60.0,0.3,70.05
70.0,5.0,0.23823
70.0,2.0,0.44153
70.0,1.0,0.8782
70.0,0.7,1.7563
70.0,0.5,7.2442
90.0,40.0,1.3385
90.0,20.0,0.39382

