#: table_doi: 10.17182/hepdata.91374.v1/t63
#: name: Figure 34c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_34c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.73273
40.0,3.0,2.5396
40.0,5.0,3.9239
40.0,10.0,3.5986
40.0,20.0,2.9331
40.0,40.0,1.7745
60.0,2.0,1.2281
60.0,3.0,4.7036
60.0,5.0,7.5682
60.0,10.0,8.7285
60.0,20.0,6.4304
60.0,40.0,1.9131
80.0,2.0,1.193
80.0,3.0,4.4544
80.0,5.0,10.163
80.0,10.0,13.499
80.0,20.0,10.662
80.0,40.0,6.0508
120.0,2.0,0.79109
120.0,3.0,4.0264
120.0,5.0,10.314
120.0,10.0,17.768
120.0,20.0,16.601
120.0,40.0,11.51
100.0,2.0,0.98448
100.0,3.0,4.6249
100.0,5.0,10.047

