#: table_doi: 10.17182/hepdata.91374.v1/t27
#: name: Figure 29c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.57938
100.0,20.0,1.2188
101.5,1.5,0.0
102.0,2.0,0.0010251
103.0,3.0,0.012103
105.0,5.0,0.14841
110.0,10.0,1.0166
110.0,30.0,0.9453
115.0,15.0,1.4474
120.0,20.0,1.457
120.0,60.0,0.40385
120.0,40.0,0.79045
126.5,1.5,0.00035477
127.0,2.0,0.00087924
128.0,3.0,0.017022
130.0,30.0,1.1729
130.0,5.0,0.13128
135.0,10.0,1.0655
140.0,40.0,0.93457
140.0,15.0,1.6587
140.0,60.0,0.52974
145.0,20.0,1.7263
152.0,2.0,0.0013231
153.0,3.0,0.023885
155.0,30.0,1.3288
155.0,5.0,0.11889
160.0,60.0,0.63534
160.0,10.0,1.0055
165.0,40.0,1.1036
165.0,15.0,1.7192
170.0,20.0,1.9328
178.0,3.0,0.009043
180.0,30.0,1.5491
180.0,5.0,0.14204
185.0,10.0,1.1211
190.0,40.0,1.1424
190.0,15.0,1.7681
195.0,20.0,1.9421
202.0,2.0,0.00069668
203.0,3.0,0.0098821
205.0,5.0,0.091198
210.0,10.0,1.0038
215.0,15.0,1.9819
220.0,20.0,2.0983
230.0,30.0,1.8005
230.0,5.0,0.090283
235.0,10.0,0.88997
240.0,40.0,1.3784
240.0,15.0,1.9238
252.0,2.0,0.0
253.0,3.0,0.0068612
255.0,5.0,0.093643
260.0,10.0,0.97881
265.0,15.0,1.9018
270.0,20.0,2.0612
280.0,30.0,2.0154
290.0,40.0,1.4601
81.5,1.5,0.00025759
82.0,2.0,0.002832
83.0,3.0,0.016383
85.0,5.0,0.13794
90.0,10.0,0.90072
95.0,15.0,1.2249

