#: table_doi: 10.17182/hepdata.91374.v1/t12
#: name: Figure 16b LH smuon Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct LH smuon production.
#: data_file: figure_16b_lh_smuon_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.4204
50.455,0.424
52.525,0.4414
53.014,0.4455
55.05,0.4637
55.547,0.4681
57.576,0.4871
58.084,0.4918
60.101,0.5113
60.658,0.5167
62.626,0.5363
63.304,0.5429
65.151,0.5614
66.061,0.5704
67.677,0.5867
68.971,0.5992
70.202,0.6116
72.074,0.6297
72.727,0.6361
75.252,0.6601
75.413,0.6615
77.778,0.6838
79.039,0.695
80.303,0.7066
82.828,0.7291
82.956,0.7303
85.353,0.7514
87.187,0.7672
87.879,0.7734
90.404,0.7952
91.681,0.8061
92.929,0.8171
95.454,0.8393
96.358,0.847
97.98,0.8618
100.51,0.8845
101.09,0.8898
103.03,0.9087
105.56,0.9333
105.73,0.935
108.08,0.9601
110.14,0.9824
110.61,0.9879
113.13,1.0186
114.22,1.032
115.66,1.052
117.92,1.0844
118.18,1.0887
120.71,1.1306
121.23,1.1395
123.23,1.1784
124.17,1.197
125.76,1.2337
126.78,1.2578
128.28,1.299
129.09,1.3213
130.81,1.3766
131.17,1.3884
133.05,1.4588
133.33,1.4706
134.8,1.5325
135.86,1.5827
136.44,1.6103
138.04,1.692
138.38,1.7104
139.65,1.7775
140.91,1.8459
141.31,1.8677
143.09,1.9625
143.43,1.9806
145.03,2.0616
145.96,2.1077
147.17,2.1662
148.48,2.2269
149.58,2.2756
151.01,2.3378
152.27,2.3911
153.54,2.4429
155.27,2.5125
156.06,2.5433
158.56,2.6394
158.59,2.6406
161.11,2.7346
162.14,2.7733
163.64,2.8288
165.88,2.9141
166.16,2.9248
168.69,3.0213
169.71,3.0613
171.21,3.1218
173.48,3.2166
173.74,3.2278
176.26,3.3404
177.11,3.3799
178.79,3.4618
180.49,3.5506
181.31,3.5958
183.6,3.7308
183.84,3.7463
186.36,3.9147
186.43,3.9201
188.89,4.1087
189.01,4.1181
191.36,4.3271
191.41,4.3321
193.54,4.5457
193.94,4.5899
195.57,4.7764
196.46,4.8876
197.48,5.0188
198.99,5.2288
199.29,5.2723
201.05,5.5399
201.52,5.6156
202.76,5.821
204.04,6.0492
204.41,6.115
206.04,6.4254
206.57,6.5328
207.63,6.7515
209.09,7.0762
209.17,7.0925
210.66,7.4525
211.62,7.7161
212.04,7.8289
213.31,8.2262
214.14,8.5487
214.39,8.6437
215.26,9.0803
215.8,9.5411
215.97,10.025
215.66,10.532
214.81,11.066
214.14,11.316
213.33,11.628
211.62,12.089
211.16,12.215
209.09,12.653
208.25,12.835
206.57,13.128
204.54,13.486
204.04,13.561
201.52,13.941
200.02,14.168
198.99,14.305
196.46,14.642
194.63,14.887
193.94,14.969
191.41,15.276
188.89,15.581
188.39,15.639
186.36,15.867
183.84,16.151
181.33,16.432
181.31,16.432
178.79,16.707
176.26,16.979
173.74,17.25
173.62,17.266
171.21,17.523
168.69,17.795
166.16,18.072
165.53,18.138
163.64,18.349
161.11,18.629
158.59,18.919
157.39,19.059
156.06,19.213
153.54,19.516
151.01,19.829
149.44,20.026
148.48,20.146
145.96,20.479
143.43,20.816
141.8,21.038
140.91,21.164
138.38,21.528
135.86,21.893
134.44,22.105
133.33,22.274
130.81,22.667
128.28,23.062
127.23,23.227
125.76,23.464
123.23,23.873
120.71,24.277
119.92,24.401
118.18,24.689
115.66,25.09
113.13,25.48
112.09,25.639
110.61,25.87
108.08,26.242
105.56,26.589
103.03,26.915
102.86,26.934
100.51,27.227
97.98,27.511
95.454,27.759
92.929,27.977
90.404,28.171
88.247,28.301
87.879,28.327
85.353,28.451
82.828,28.55
80.303,28.609
77.778,28.642
75.252,28.642
72.727,28.609
70.202,28.556
67.677,28.464
65.151,28.353
64.183,28.301
62.626,28.216
60.101,28.054
57.576,27.868
55.05,27.657
52.525,27.428
50.0,27.177

