#: table_doi: 10.17182/hepdata.91374.v1/t58
#: name: Figure 33d
#: description: Efficiency for the C1C1 VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_33d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.42702
40.0,3.0,0.61328
40.0,5.0,0.52586
40.0,10.0,0.45419
40.0,20.0,0.4912
40.0,40.0,0.54581
60.0,2.0,0.34212
60.0,3.0,0.35261
60.0,5.0,0.37964
60.0,10.0,0.36045
60.0,20.0,0.43255
60.0,40.0,0.46488
80.0,2.0,0.29039
80.0,3.0,0.36561
80.0,5.0,0.33443
80.0,10.0,0.41109
80.0,20.0,0.4323
80.0,40.0,0.45609
120.0,2.0,0.82367
120.0,3.0,0.42346
120.0,5.0,0.52794
120.0,10.0,0.35121
120.0,20.0,0.40747
120.0,40.0,0.38251
100.0,2.0,0.44752
100.0,3.0,0.59771
100.0,5.0,0.35797

