#: table_doi: 10.17182/hepdata.91374.v1/t65
#: name: Figure 34e
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_34e.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,1.0929
40.0,3.0,3.9285
40.0,5.0,6.2001
40.0,10.0,5.9156
40.0,20.0,4.584
40.0,40.0,2.6862
60.0,2.0,1.7366
60.0,3.0,6.6863
60.0,5.0,11.509
60.0,10.0,13.544
60.0,20.0,9.9371
60.0,40.0,3.0434
80.0,2.0,1.6716
80.0,3.0,6.4947
80.0,5.0,14.62
80.0,10.0,20.28
80.0,20.0,16.25
80.0,40.0,9.1433
120.0,2.0,1.103
120.0,3.0,5.5727
120.0,5.0,14.936
120.0,10.0,26.472
120.0,20.0,24.819
120.0,40.0,16.374
100.0,2.0,1.3543
100.0,3.0,6.655
100.0,5.0,14.777

