#: table_doi: 10.17182/hepdata.91374.v1/t2
#: name: Figure 14a Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct higgsino production.
#: data_file: figure_14a_observed.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
81.0,1.9661
83.111,2.01
83.563,2.0198
85.222,2.0573
87.241,2.1052
87.333,2.1077
89.444,2.1612
90.666,2.1943
91.556,2.2187
93.667,2.2803
93.884,2.2867
95.778,2.3453
96.944,2.3834
97.889,2.4149
99.875,2.4837
100.0,2.4883
102.11,2.5657
102.72,2.5888
104.22,2.6473
105.5,2.6984
106.33,2.7321
108.25,2.8119
108.44,2.8203
110.56,2.9121
110.98,2.9309
112.67,3.0061
113.72,3.0549
114.78,3.1031
116.49,3.1835
116.89,3.2026
119.0,3.3037
119.3,3.3182
121.11,3.4064
122.17,3.4578
123.22,3.5108
125.09,3.6041
125.33,3.6166
127.44,3.7231
128.1,3.7566
129.56,3.8309
131.18,3.9147
131.67,3.94
133.78,4.0504
134.34,4.0804
135.89,4.162
137.59,4.2521
138.0,4.2746
140.11,4.3883
140.91,4.432
142.22,4.504
144.3,4.6196
144.33,4.6217
146.44,4.7391
147.77,4.8139
148.56,4.8596
150.67,4.9808
151.3,5.0176
152.78,5.105
154.87,5.2288
154.89,5.23
157.0,5.358
158.52,5.45
159.11,5.4878
161.22,5.6195
162.19,5.6807
163.33,5.7544
165.44,5.8911
165.88,5.9197
167.56,6.0339
169.58,6.1702
169.67,6.1773
171.78,6.327
173.25,6.4313
173.89,6.4804
176.0,6.6405
176.83,6.7019
178.11,6.8093
180.22,6.9823
180.26,6.9855
182.33,7.1746
183.49,7.2795
184.44,7.3824
186.39,7.5875
186.56,7.6085
188.67,7.8777
188.91,7.9086
190.78,8.2149
190.94,8.2414
192.42,8.5901
192.89,8.7943
193.26,8.9516
193.44,9.3304
192.91,9.7252
192.89,9.732
191.69,10.134
190.78,10.335
189.76,10.563
188.67,10.75
187.17,11.008
186.56,11.097
184.44,11.408
184.0,11.474
182.33,11.692
180.37,11.959
180.22,11.976
178.11,12.243
176.42,12.462
176.0,12.514
173.89,12.782
172.34,12.99
171.78,13.062
169.67,13.341
168.26,13.539
167.56,13.633
165.44,13.938
164.33,14.109
163.33,14.259
161.22,14.598
160.6,14.706
159.11,14.962
157.13,15.325
157.0,15.35
154.89,15.773
153.95,15.973
152.78,16.237
151.04,16.649
150.67,16.742
148.56,17.306
148.4,17.35
146.44,17.947
146.02,18.084
144.33,18.672
143.86,18.845
142.22,19.516
141.93,19.643
140.2,20.474
140.11,20.521
138.67,21.335
138.0,21.772
137.31,22.238
136.12,23.174
135.89,23.388
135.1,24.155
134.23,25.177
133.78,25.84
133.51,26.236
132.96,27.346
132.55,28.504
132.29,29.703
132.17,30.96
132.19,32.263
132.33,33.628
132.58,35.051
132.91,36.526
133.27,38.072
133.62,39.673
133.78,40.588
133.92,41.352
134.1,43.102
134.09,44.916
133.85,46.817
133.78,47.098
133.38,48.786
132.65,50.851
131.67,53.003
131.67,53.003
130.52,55.233
129.56,56.885
129.2,57.571
127.76,60.007

