#: table_doi: 10.17182/hepdata.91374.v1/t48
#: name: Figure 31h
#: description: Efficiency for the N2C1m higgsino process in the SR-E-1l1T region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31h.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
81.0,1.0,0.0072686
81.5,1.5,0.028426
82.0,2.0,0.050411
83.0,3.0,0.088147
85.0,5.0,0.1146
101.0,1.0,0.0031439
101.5,1.5,0.034896
102.0,2.0,0.050821
103.0,3.0,0.047968
105.0,5.0,0.11158
126.0,1.0,0.0
126.5,1.5,0.020883
127.0,2.0,0.044975
128.0,3.0,0.093563
130.0,5.0,0.092789
152.0,2.0,0.044301
155.0,5.0,0.13583
153.0,3.0,0.069017

