#: table_doi: 10.17182/hepdata.91374.v1/t98
#: name: Table 24
#: description: Number of signal events in SR-VBF for the (m($\tilde{\chi}_{2}^{0}$),m($\tilde{\chi}_{1}^{0}$)) = (100 GeV, 95 GeV) Higgsino signal model at different stages of selection before and after weighting events to correspond to 140/fb.
#: data_file: table_24.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
Selection,Raw Events,Weighted Events
Initial number of events ($\mathcal{L}\times\sigma$),--,2051.0
Initial number of events ($\mathcal{L}\times\sigma\times\mathcal{B}$),--,193.0
Generator filters,120000,40.982
${p_{\mathrm{T}}^{\mathrm{\ell}_1}}>5$,59175,19.076
$N_\text{baseline}^\ell = 2$,25400,7.835
$N_\text{signal}^\ell= 2$,16703,5.098
${E_{\mathrm{T}}^{\mathrm{miss}}}$ triggers,15244,4.658
Lepton author 16 veto,15229,4.653
"${\min(\Delta\phi(\mathrm{any~jet},\mathbf{p}_{\mathrm{T}}^{\mathrm{miss}}))} > 0.4$",13829,4.229
"$\Delta R_{ee} > 0.3, \Delta R_{\mu\mu} > 0.5, \Delta R_{e\mu} > 0.2$",11988,3.682
Same flavour,11355,3.365
Opposite charge,11332,3.358
"${m_{\ell\ell}} \in [1, 40]$ GeV",10516,3.127
"Veto ${m_{\ell\ell}} \in [3, 3.2]$ GeV",9860,2.939
"Veto $m_{\tau\tau} \in [0, 160]$ GeV",7968,2.392
$N_{b\text{-jets}} = 0$,6541,1.929
Leading jet $p_\text{T} > 100$ GeV,5675,1.696
$p_\text{T}(j_2) > 40$ GeV,5015,1.514
${E_{\mathrm{T}}^{\mathrm{miss}}} > 200$ GeV,4507,1.359
${E_{\mathrm{T}}^{\mathrm{miss}}}/{H_{\mathrm{T}}^{\smash{\mathrm{lep}}}} > 2.0$,4506,1.358
"$p_\text{T}^{\ell_2} > $ min$(10, 2+m_{\ell\ell}/3)$ GeV",4176,1.205
${m_{\mathrm{T}}^{\ell_1}} < 60$ GeV,3833,1.1
$ R_{\text{VBF}} < 1.0$,3771,1.086
"$ R_{\text{VBF}} > $ max$(0.6, 0.92-m_{ll}/2$ GeV$)$",3241,0.948
$\eta_{j_1}\cdot\eta_{j_2}<0$,2481,0.707
$m_{jj} > 400$ GeV,2318,0.658
$\Delta\eta_{jj} > 2$,2093,0.586
SR--VBF--high,,
${m_{\ell\ell}} < 40$ GeV,844,0.207
${m_{\ell\ell}} < 30$ GeV,843,0.207
${m_{\ell\ell}} < 20$ GeV,841,0.206
${m_{\ell\ell}} < 10$ GeV,837,0.204
${m_{\ell\ell}} < 5$ GeV,829,0.2
${m_{\ell\ell}} < 3$ GeV,604,0.144
${m_{\ell\ell}} < 2$ GeV,288,0.071
SR--VBF--low,,
${m_{\ell\ell}} < 40$ GeV,1249,0.379
${m_{\ell\ell}} < 30$ GeV,1249,0.379
${m_{\ell\ell}} < 20$ GeV,1248,0.379
${m_{\ell\ell}} < 10$ GeV,1242,0.375
${m_{\ell\ell}} < 5$ GeV,1227,0.369
${m_{\ell\ell}} < 3$ GeV,880,0.264
${m_{\ell\ell}} < 2$ GeV,377,0.11

