#: table_doi: 10.17182/hepdata.91374.v1/t55
#: name: Figure 33a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the C1C1 VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_33a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.018972
40.0,3.0,0.096289
40.0,5.0,0.41738
40.0,10.0,0.49555
40.0,20.0,0.3547
40.0,40.0,0.16007
60.0,2.0,0.014901
60.0,3.0,0.12475
60.0,5.0,0.45842
60.0,10.0,0.74222
60.0,20.0,0.86598
60.0,40.0,0.46239
80.0,2.0,0.0073319
80.0,3.0,0.037069
80.0,5.0,0.41513
80.0,10.0,0.68302
80.0,20.0,1.0639
80.0,40.0,0.92916
120.0,2.0,0.004093
120.0,3.0,0.015536
120.0,5.0,0.14906
120.0,10.0,0.61487
120.0,20.0,1.2542
120.0,40.0,1.5372
100.0,2.0,0.0069946
100.0,3.0,0.052354
100.0,5.0,0.20184

